Codigo;Municipio;Estado;0-19;20-44;45-54;55-64;65-74;75+
110001;Alta Floresta D'Oeste;RO;8796.0;9541.0;2676.0;1561.0;969.0;438.0
110002;Ariquemes;RO;35868.0;39486.0;9178.0;5286.0;2697.0;1351.0
110003;Cabixi;RO;2010.0;2288.0;771.0;502.0;292.0;130.0
110004;Cacoal;RO;28948.0;33425.0;8796.0;5000.0;2787.0;1642.0
110005;Cerejeiras;RO;6023.0;6737.0;1938.0;1190.0;724.0;379.0
110006;Colorado do Oeste;RO;5931.0;7175.0;2084.0;1410.0;894.0;466.0
110007;Corumbiara;RO;3096.0;3411.0;937.0;561.0;324.0;161.0
110008;Costa Marques;RO;5885.0;5480.0;1248.0;771.0;378.0;172.0
110009;Espigão D'Oeste;RO;10723.0;12079.0;3110.0;1860.0;992.0;530.0
110010;Guajará-Mirim;RO;17960.0;16344.0;3762.0;2322.0;1253.0;824.0
110011;Jaru;RO;19076.0;21817.0;5097.0;3099.0;1842.0;1067.0
110012;Ji-Paraná;RO;43123.0;50201.0;12885.0;7330.0;3766.0;2196.0
110013;Machadinho D'Oeste;RO;12185.0;12675.0;3277.0;2021.0;995.0;373.0
110014;Nova Brasilândia D'Oeste;RO;7195.0;7935.0;2090.0;1352.0;738.0;355.0
110015;Ouro Preto do Oeste;RO;13693.0;15463.0;4092.0;2419.0;1458.0;804.0
110018;Pimenta Bueno;RO;12798.0;14270.0;3764.0;2081.0;1108.0;623.0
110020;Porto Velho;RO;171689.0;197218.0;45714.0;23327.0;10161.0;5453.0
110025;Presidente Médici;RO;7297.0;8306.0;2609.0;1687.0;968.0;583.0
110026;Rio Crespo;RO;1130.0;1294.0;388.0;231.0;147.0;68.0
110028;Rolim de Moura;RO;18893.0;21811.0;5303.0;3162.0;1815.0;1031.0
110029;Santa Luzia D'Oeste;RO;2818.0;3379.0;984.0;591.0;385.0;199.0
110030;Vilhena;RO;29692.0;34425.0;8494.0;4510.0;2402.0;1148.0
110032;São Miguel do Guaporé;RO;8545.0;8786.0;2190.0;1271.0;741.0;277.0
110033;Nova Mamoré;RO;9740.0;9340.0;2222.0;1281.0;609.0;296.0
110034;Alvorada D'Oeste;RO;5559.0;6318.0;1829.0;1143.0;669.0;337.0
110037;Alto Alegre dos Parecis;RO;4706.0;4989.0;1251.0;800.0;451.0;173.0
110040;Alto Paraíso;RO;6486.0;6914.0;1832.0;1093.0;622.0;251.0
110045;Buritis;RO;13406.0;13728.0;3115.0;1808.0;922.0;347.0
110050;Novo Horizonte do Oeste;RO;3298.0;3800.0;1137.0;735.0;450.0;197.0
110060;Cacaulândia;RO;2015.0;2240.0;564.0;412.0;245.0;98.0
110070;Campo Novo de Rondônia;RO;4801.0;5018.0;1338.0;746.0;326.0;134.0
110080;Candeias do Jamari;RO;8332.0;8097.0;2002.0;1289.0;532.0;292.0
110090;Castanheiras;RO;1239.0;1301.0;386.0;305.0;183.0;65.0
110092;Chupinguaia;RO;3526.0;3590.0;834.0;469.0;220.0;81.0
110094;Cujubim;RO;6525.0;6965.0;1536.0;920.0;366.0;113.0
110100;Governador Jorge Teixeira;RO;3589.0;3832.0;1064.0;702.0;387.0;187.0
110110;Itapuã do Oeste;RO;3228.0;3228.0;910.0;582.0;310.0;115.0
110120;Ministro Andreazza;RO;3491.0;3991.0;961.0;649.0;402.0;194.0
110130;Mirante da Serra;RO;4225.0;4467.0;1184.0;764.0;492.0;293.0
110140;Monte Negro;RO;5444.0;5458.0;1392.0;941.0;557.0;229.0
110143;Nova União;RO;2736.0;2807.0;751.0;480.0;275.0;126.0
110145;Parecis;RO;1698.0;1960.0;520.0;317.0;160.0;56.0
110146;Pimenteiras do Oeste;RO;923.0;876.0;230.0;144.0;88.0;31.0
110147;Primavera de Rondônia;RO;1222.0;1284.0;382.0;271.0;152.0;82.0
110148;São Felipe D'Oeste;RO;1855.0;2273.0;683.0;482.0;277.0;138.0
110149;São Francisco do Guaporé;RO;6812.0;6635.0;1562.0;983.0;454.0;196.0
110150;Seringueiras;RO;4530.0;4516.0;1184.0;696.0;366.0;166.0
110155;Teixeirópolis;RO;1698.0;1830.0;529.0;335.0;213.0;152.0
110160;Theobroma;RO;3725.0;3973.0;1168.0;777.0;401.0;184.0
110170;Urupá;RO;4266.0;4880.0;1344.0;1048.0;513.0;231.0
110175;Vale do Anari;RO;3310.0;3612.0;1036.0;675.0;373.0;143.0
110180;Vale do Paraíso;RO;2758.0;3080.0;896.0;576.0;305.0;155.0
120001;Acrelândia;AC;5610.0;4742.0;1124.0;771.0;370.0;189.0
120005;Assis Brasil;AC;3455.0;2330.0;480.0;279.0;166.0;104.0
120010;Brasiléia;AC;10140.0;8630.0;1837.0;1201.0;714.0;421.0
120013;Bujari;AC;4472.0;3198.0;731.0;553.0;274.0;137.0
120017;Capixaba;AC;4502.0;3221.0;849.0;533.0;280.0;127.0
120020;Cruzeiro do Sul;AC;37235.0;29866.0;5392.0;3497.0;2198.0;1407.0
120025;Epitaciolândia;AC;6380.0;6070.0;1298.0;834.0;523.0;308.0
120030;Feijó;AC;16555.0;11061.0;1983.0;1264.0;780.0;455.0
120032;Jordão;AC;4402.0;2132.0;314.0;139.0;83.0;54.0
120033;Mâncio Lima;AC;7753.0;5619.0;1040.0;685.0;430.0;226.0
120034;Manoel Urbano;AC;4453.0;2830.0;543.0;331.0;188.0;132.0
120035;Marechal Thaumaturgo;AC;8513.0;4677.0;716.0;408.0;224.0;112.0
120038;Plácido de Castro;AC;7527.0;6179.0;1527.0;1065.0;596.0;327.0
120039;Porto Walter;AC;5343.0;2980.0;452.0;274.0;142.0;92.0
120040;Rio Branco;AC;139701.0;148032.0;30518.0;17956.0;9255.0;5757.0
120042;Rodrigues Alves;AC;7869.0;5113.0;876.0;600.0;323.0;149.0
120043;Santa Rosa do Purus;AC;2922.0;1720.0;222.0;158.0;64.0;27.0
120045;Senador Guiomard;AC;8992.0;7661.0;1807.0;1160.0;748.0;394.0
120050;Sena Madureira;AC;17777.0;14822.0;2805.0;1874.0;1057.0;730.0
120060;Tarauacá;AC;20494.0;11932.0;2212.0;1439.0;876.0;580.0
120070;Xapuri;AC;7184.0;6051.0;1367.0;944.0;549.0;365.0
120080;Porto Acre;AC;7406.0;5481.0;1280.0;936.0;529.0;310.0
130002;Alvarães;AM;7312.0;4539.0;800.0;520.0;302.0;162.0
130006;Amaturá;AM;4968.0;3520.0;617.0;351.0;229.0;115.0
130008;Anamã;AM;4904.0;3898.0;716.0;383.0;302.0;150.0
130010;Anori;AM;7436.0;6150.0;1082.0;615.0;466.0;270.0
130014;Apuí;AM;6726.0;7734.0;1734.0;1030.0;442.0;150.0
130020;Atalaia do Norte;AM;7835.0;5826.0;896.0;490.0;305.0;157.0
130030;Autazes;AM;17105.0;10829.0;2410.0;1637.0;978.0;675.0
130040;Barcelos;AM;11548.0;10013.0;1822.0;1208.0;756.0;254.0
130050;Barreirinha;AM;15379.0;8377.0;1773.0;1152.0;800.0;572.0
130060;Benjamin Constant;AM;18411.0;11624.0;2160.0;1339.0;872.0;552.0
130063;Beruri;AM;9037.0;4878.0;996.0;661.0;406.0;259.0
130068;Boa Vista do Ramos;AM;7735.0;5045.0;1031.0;641.0;366.0;270.0
130070;Boca do Acre;AM;14831.0;11117.0;2271.0;1547.0;978.0;575.0
130080;Borba;AM;17023.0;12001.0;2276.0;1510.0;918.0;729.0
130083;Caapiranga;AM;5040.0;4029.0;725.0;504.0;276.0;141.0
130090;Canutama;AM;5506.0;5385.0;1228.0;740.0;425.0;189.0
130100;Carauari;AM;13518.0;8623.0;1641.0;1040.0;646.0;373.0
130110;Careiro;AM;13766.0;12276.0;2582.0;1650.0;954.0;500.0
130115;Careiro da Várzea;AM;8947.0;9054.0;2176.0;1421.0;936.0;461.0
130120;Coari;AM;37182.0;28586.0;4857.0;2991.0;1788.0;1033.0
130130;Codajás;AM;10954.0;8705.0;1557.0;982.0;617.0;341.0
130140;Eirunepé;AM;16200.0;10478.0;2003.0;1212.0;793.0;422.0
130150;Envira;AM;8547.0;5854.0;904.0;538.0;355.0;253.0
130160;Fonte Boa;AM;11654.0;8005.0;1333.0;923.0;584.0;341.0
130165;Guajará;AM;7401.0;4718.0;852.0;513.0;293.0;166.0
130170;Humaitá;AM;21679.0;16682.0;3452.0;2201.0;1291.0;690.0
130180;Ipixuna;AM;10324.0;7967.0;1262.0;746.0;466.0;217.0
130185;Iranduba;AM;19136.0;14846.0;3226.0;2144.0;1338.0;688.0
130190;Itacoatiara;AM;41376.0;31803.0;6875.0;4663.0;2764.0;1718.0
130195;Itamarati;AM;4534.0;2839.0;423.0;272.0;136.0;74.0
130200;Itapiranga;AM;3841.0;2823.0;657.0;436.0;284.0;153.0
130210;Japurá;AM;3576.0;2672.0;451.0;182.0;115.0;82.0
130220;Juruá;AM;5476.0;3867.0;660.0;355.0;248.0;143.0
130230;Jutaí;AM;10443.0;5686.0;965.0;664.0;415.0;207.0
130240;Lábrea;AM;17465.0;13611.0;2821.0;1738.0;1057.0;595.0
130250;Manacapuru;AM;41935.0;30712.0;6222.0;3951.0;2684.0;1564.0
130255;Manaquiri;AM;9456.0;8513.0;1816.0;1177.0;731.0;362.0
130260;Manaus;AM;754639.0;813534.0;173305.0;95447.0;45553.0;26800.0
130270;Manicoré;AM;22431.0;16913.0;3429.0;2166.0;1331.0;794.0
130280;Maraã;AM;8661.0;6184.0;880.0;516.0;304.0;148.0
130290;Maués;AM;27346.0;17305.0;3934.0;2464.0;1355.0;1193.0
130300;Nhamundá;AM;8412.0;6256.0;1419.0;873.0;637.0;410.0
130310;Nova Olinda do Norte;AM;14713.0;10975.0;2336.0;1276.0;705.0;707.0
130320;Novo Airão;AM;6837.0;5489.0;1208.0;753.0;437.0;270.0
130330;Novo Aripuanã;AM;9688.0;8001.0;1551.0;982.0;653.0;389.0
130340;Parintins;AM;48211.0;35201.0;7770.0;4941.0;2980.0;2104.0
130350;Pauini;AM;8577.0;6408.0;1086.0;654.0;356.0;189.0
130353;Presidente Figueiredo;AM;12435.0;10702.0;2582.0;1605.0;670.0;232.0
130356;Rio Preto da Eva;AM;10626.0;10877.0;2121.0;1303.0;663.0;284.0
130360;Santa Isabel do Rio Negro;AM;8394.0;6149.0;1061.0;749.0;504.0;266.0
130370;Santo Antônio do Içá;AM;13189.0;8399.0;1382.0;864.0;436.0;337.0
130380;São Gabriel da Cachoeira;AM;20236.0;13576.0;2753.0;1974.0;1116.0;678.0
130390;São Paulo de Olivença;AM;17074.0;11187.0;1886.0;1214.0;824.0;454.0
130395;São Sebastião do Uatumã;AM;5078.0;3832.0;700.0;525.0;251.0;122.0
130400;Silves;AM;4217.0;2661.0;700.0;440.0;221.0;160.0
