date,suspects,refuses,cases,deaths
2020-01-30,1,0,0,0
2020-01-31,1,0,0,0
2020-02-01,1,0,0,0
2020-02-02,1,0,0,0
2020-02-03,0,1,0,0
2020-02-04,0,1,0,0
2020-02-05,0,1,0,0
2020-02-06,0,1,0,0
2020-02-06,0,1,0,0
2020-02-07,0,1,0,0
2020-02-08,0,1,0,0
2020-02-09,0,1,0,0
2020-02-10,0,1,0,0
2020-02-11,0,1,0,0
2020-02-12,0,1,0,0
2020-02-13,0,1,0,0
2020-02-14,0,1,0,0
2020-02-15,0,1,0,0
2020-02-16,0,1,0,0
2020-02-17,0,1,0,0
2020-02-18,0,1,0,0
2020-02-19,0,1,0,0
2020-02-20,0,1,0,0
2020-02-21,0,1,0,0
2020-02-22,0,1,0,0
2020-02-23,0,1,0,0
2020-02-24,0,1,0,0
2020-02-25,0,1,0,0
2020-02-25,0,1,0,0
2020-02-26,0,1,0,0
2020-02-27,5,1,0,0
2020-02-28,6,2,0,0
2020-02-29,6,2,0,0
2020-03-01,6,2,0,0
2020-03-02,6,6,0,0
2020-03-03,19,9,0,0
2020-03-04,14,18,0,0
2020-03-05,16,18,0,0
2020-03-06,12,24,0,0
2020-03-07,13,24,0,0
2020-03-08,11,26,0,0
2020-03-10,22,42,0,0
2020-03-11,22,42,0,0
2020-03-12,22,42,0,0
2020-03-13,22,59,0,0
2020-03-14,22,59,0,0
2020-03-15,22,59,0,0
2020-03-16,22,60,0,0
2020-03-17,211,95,5,0
2020-03-18,493,89,9,0
