date,suspects,refuses,cases,deaths
2020-01-30,1,0,0,0
2020-01-31,1,0,0,0
2020-02-01,0,1,0,0
2020-02-02,0,1,0,0
2020-02-03,0,1,0,0
2020-02-04,0,1,0,0
2020-02-05,0,1,0,0
2020-02-06,1,1,0,0
2020-02-06,1,1,0,0
2020-02-07,1,1,0,0
2020-02-08,1,1,0,0
2020-02-09,1,1,0,0
2020-02-10,1,1,0,0
2020-02-11,1,1,0,0
2020-02-12,1,1,0,0
2020-02-13,0,2,0,0
2020-02-14,0,2,0,0
2020-02-15,0,2,0,0
2020-02-16,0,2,0,0
2020-02-17,0,2,0,0
2020-02-18,0,2,0,0
2020-02-19,0,2,0,0
2020-02-20,0,2,0,0
2020-02-21,0,2,0,0
2020-02-22,0,2,0,0
2020-02-23,0,2,0,0
2020-02-24,0,2,0,0
2020-02-25,0,2,0,0
2020-02-25,0,2,0,0
2020-02-26,2,2,0,0
2020-02-27,5,3,0,0
2020-02-28,17,3,0,0
2020-02-29,17,3,0,0
2020-03-01,17,3,0,0
2020-03-02,48,4,0,0
2020-03-03,58,6,0,0
2020-03-04,82,6,0,0
2020-03-05,80,12,0,0
2020-03-06,123,17,0,0
2020-03-07,123,17,0,0
2020-03-08,122,17,1,0
2020-03-10,122,18,1,0
2020-03-11,117,22,1,0
2020-03-12,117,22,1,0
2020-03-13,116,73,2,0
2020-03-14,106,85,2,0
2020-03-15,106,85,2,0
2020-03-16,102,88,5,0
2020-03-17,563,99,7,0
2020-03-18,925,104,15,0
