date,suspects,refuses,cases,deaths
2020-01-30,0,2,0,0
2020-01-31,1,2,0,0
2020-02-01,2,2,0,0
2020-02-02,2,2,0,0
2020-02-03,2,2,0,0
2020-02-04,2,2,0,0
2020-02-05,1,3,0,0
2020-02-06,1,3,0,0
2020-02-06,1,3,0,0
2020-02-07,1,3,0,0
2020-02-08,1,3,0,0
2020-02-09,1,3,0,0
2020-02-10,0,4,0,0
2020-02-11,0,4,0,0
2020-02-12,0,4,0,0
2020-02-13,0,4,0,0
2020-02-14,0,4,0,0
2020-02-15,0,4,0,0
2020-02-16,0,4,0,0
2020-02-17,0,4,0,0
2020-02-18,0,4,0,0
2020-02-19,0,4,0,0
2020-02-20,0,4,0,0
2020-02-21,0,4,0,0
2020-02-22,0,4,0,0
2020-02-23,0,4,0,0
2020-02-24,0,4,0,0
2020-02-25,0,4,0,0
2020-02-25,0,4,0,0
2020-02-26,2,4,0,0
2020-02-27,8,4,0,0
2020-02-28,9,4,0,0
2020-02-29,9,4,0,0
2020-03-01,9,4,0,0
2020-03-02,36,4,0,0
2020-03-03,43,4,0,0
2020-03-04,46,4,0,0
2020-03-05,54,4,0,0
2020-03-06,59,10,0,0
2020-03-07,44,25,0,0
2020-03-08,44,26,0,0
2020-03-10,42,28,0,0
2020-03-11,47,32,0,0
2020-03-12,73,34,0,0
2020-03-13,77,34,2,0
2020-03-14,85,39,4,0
2020-03-15,102,41,6,0
2020-03-16,109,44,7,0
2020-03-17,220,55,7,0
2020-03-18,346,47,10,0
