date,suspects,refuses,cases,deaths
2020-01-30,3,1,0,0
2020-01-31,7,2,0,0
2020-02-01,8,2,0,0
2020-02-02,8,2,0,0
2020-02-03,7,3,0,0
2020-02-04,6,5,0,0
2020-02-05,4,9,0,0
2020-02-06,3,10,0,0
2020-02-06,3,10,0,0
2020-02-07,3,11,0,0
2020-02-08,2,13,0,0
2020-02-09,3,13,0,0
2020-02-10,3,13,0,0
2020-02-11,3,14,0,0
2020-02-12,6,14,0,0
2020-02-13,3,17,0,0
2020-02-14,1,20,0,0
2020-02-15,2,20,0,0
2020-02-16,2,20,0,0
2020-02-17,2,20,0,0
2020-02-18,4,20,0,0
2020-02-19,1,23,0,0
2020-02-20,1,24,0,0
2020-02-21,0,25,0,0
2020-02-22,0,25,0,0
2020-02-23,1,25,0,0
2020-02-24,3,26,0,0
2020-02-25,4,26,0,0
2020-02-25,4,26,0,0
2020-02-26,11,28,1,0
2020-02-27,55,28,1,0
2020-02-28,66,30,1,0
2020-02-29,91,38,2,0
2020-03-01,136,48,2,0
2020-03-02,163,48,2,0
2020-03-03,130,104,2,0
2020-03-04,135,131,3,0
2020-03-05,182,159,6,0
2020-03-06,222,189,10,0
2020-03-07,184,246,13,0
2020-03-08,176,258,16,0
2020-03-10,302,289,19,0
2020-03-11,263,320,30,0
2020-03-12,704,471,42,0
2020-03-13,753,529,56,0
2020-03-14,752,545,65,0
2020-03-15,1125,551,136,0
2020-03-16,1177,623,152,0
2020-03-17,5047,709,164,1
2020-03-18,5334,596,240,4
