date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-04-03,AC,Acrelândia,city,9,0,True,15256,1200013,58.99318,
2020-04-03,AC,Porto Acre,city,1,0,True,18504,1200807,5.40424,
2020-04-03,AC,Rio Branco,city,36,0,True,407319,1200401,8.83828,
2020-04-03,AC,,state,46,0,True,881935,12,5.2158,
2020-04-03,AM,Anori,city,1,0,True,21010,1300102,4.75964,
2020-04-03,AM,Boca do Acre,city,1,0,True,34308,1300706,2.91477,
2020-04-03,AM,Careiro da Várzea,city,1,0,True,30225,1301159,3.30852,
2020-04-03,AM,Itacoatiara,city,4,0,True,101337,1301902,3.94723,
2020-04-03,AM,Manacapuru,city,10,1,True,97377,1302504,10.26937,0.1
2020-04-03,AM,Manaus,city,232,5,True,2182763,1302603,10.62873,0.0216
2020-04-03,AM,Novo Airão,city,1,0,True,19454,1303205,5.14033,
2020-04-03,AM,Parintins,city,3,1,True,114273,1303403,2.62529,0.3333
2020-04-03,AM,Santo Antônio do Içá,city,4,0,True,21602,1303700,18.5168,
2020-04-03,AM,Tonantins,city,3,0,True,18755,1304237,15.99573,
2020-04-03,AM,,state,260,7,True,4144597,13,6.27323,0.0269
2020-04-03,AP,Macapá,city,19,0,True,503327,1600303,3.77488,
2020-04-03,AP,,state,19,0,True,845731,16,2.24658,
2020-04-03,GO,Águas Lindas de Goiás,city,1,0,True,212440,5200258,0.47072,
2020-04-03,GO,Anápolis,city,4,0,True,386923,5201108,1.0338,
2020-04-03,GO,Aparecida de Goiânia,city,4,0,True,578179,5201405,0.69183,
2020-04-03,GO,Bom Jesus de Goiás,city,1,0,True,25216,5203500,3.96574,
2020-04-03,GO,Caldas Novas,city,0,0,True,91162,5204508,,
2020-04-03,GO,Campestre de Goiás,city,1,0,True,3630,5204607,27.54821,
2020-04-03,GO,Catalão,city,1,0,True,108823,5205109,0.91892,
2020-04-03,GO,Cidade Ocidental,city,1,0,True,71376,5205497,1.40103,
2020-04-03,GO,Goianésia,city,1,0,True,70084,5208608,1.42686,
2020-04-03,GO,Goiânia,city,50,1,True,1516113,5208707,3.29791,0.02
2020-04-03,GO,Hidrolândia,city,0,0,True,21706,5209705,,
2020-04-03,GO,Importados/Indefinidos,city,1,0,True,,,,
2020-04-03,GO,Itumbiara,city,2,0,True,104742,5211503,1.90945,
2020-04-03,GO,Jataí,city,2,0,True,100882,5211909,1.98251,
2020-04-03,GO,Luziânia,city,1,1,True,208299,5212501,0.48008,1.0
2020-04-03,GO,Nova Veneza,city,1,0,True,9853,5215009,10.14919,
2020-04-03,GO,Paranaiguara,city,1,0,True,10057,5216304,9.94332,
2020-04-03,GO,Rio Verde,city,7,0,True,235647,5218805,2.97054,
2020-04-03,GO,São Luís de Montes Belos,city,1,0,True,33817,5220108,2.95709,
2020-04-03,GO,Senador Canedo,city,1,0,True,115371,5220454,0.86677,
2020-04-03,GO,Silvânia,city,1,0,True,20695,5220603,4.83209,
2020-04-03,GO,Trindade,city,1,0,True,127599,5221403,0.78371,
2020-04-03,GO,Valparaíso de Goiás,city,5,0,True,168468,5221858,2.96792,
2020-04-03,GO,,state,88,2,True,7018354,52,1.25386,0.0227
2020-04-03,PA,Abaetetuba,city,1,0,True,157698,1500107,0.63412,
2020-04-03,PA,Ananindeua,city,9,0,True,530598,1500800,1.6962,
2020-04-03,PA,Barcarena,city,1,0,True,124680,1501303,0.80205,
2020-04-03,PA,Belém,city,30,0,True,1492745,1501402,2.00972,
2020-04-03,PA,Castanhal,city,1,0,True,200793,1502400,0.49803,
