date,uf,city,ibgeID,new_cases,cases
2020-03-19,RS,Alvorada,4300604,1,1
2020-03-20,RS,Alvorada,4300604,1,2
2020-03-21,RS,Alvorada,4300604,0,2
2020-03-22,RS,Alvorada,4300604,0,2
2020-03-23,RS,Alvorada,4300604,0,2
2020-03-16,GO,Anápolis,5201108,2,2
2020-03-17,GO,Anápolis,5201108,0,2
2020-03-18,GO,Anápolis,5201108,0,2
2020-03-19,GO,Anápolis,5201108,0,2
2020-03-20,GO,Anápolis,5201108,0,2
2020-03-21,GO,Anápolis,5201108,0,2
2020-03-22,GO,Anápolis,5201108,0,2
2020-03-23,GO,Anápolis,5201108,0,2
2020-03-18,GO,Aparecida de Goiânia,5201405,1,1
2020-03-19,GO,Aparecida de Goiânia,5201405,0,1
2020-03-20,GO,Aparecida de Goiânia,5201405,1,2
2020-03-21,GO,Aparecida de Goiânia,5201405,0,2
2020-03-22,GO,Aparecida de Goiânia,5201405,0,2
2020-03-23,GO,Aparecida de Goiânia,5201405,0,2
2020-03-16,CE,Aquiraz,2301000,1,1
2020-03-17,CE,Aquiraz,2301000,0,1
2020-03-18,CE,Aquiraz,2301000,0,1
2020-03-19,CE,Aquiraz,2301000,0,1
2020-03-20,CE,Aquiraz,2301000,0,1
2020-03-21,CE,Aquiraz,2301000,3,4
2020-03-22,CE,Aquiraz,2301000,1,5
2020-03-23,CE,Aquiraz,2301000,1,6
2020-03-14,SE,Aracaju,2800308,1,1
2020-03-15,SE,Aracaju,2800308,0,1
2020-03-16,SE,Aracaju,2800308,4,5
2020-03-17,SE,Aracaju,2800308,0,5
2020-03-18,SE,Aracaju,2800308,0,5
2020-03-19,SE,Aracaju,2800308,0,5
2020-03-20,SE,Aracaju,2800308,0,5
2020-03-21,SE,Aracaju,2800308,2,7
2020-03-22,SE,Aracaju,2800308,0,7
2020-03-23,SE,Aracaju,2800308,0,7
2020-03-19,RS,Bagé,4301602,2,2
2020-03-20,RS,Bagé,4301602,0,2
2020-03-21,RS,Bagé,4301602,1,3
2020-03-22,RS,Bagé,4301602,3,6
2020-03-23,RS,Bagé,4301602,1,7
2020-03-18,SC,Balneário Camboriú,4202008,2,2
2020-03-19,SC,Balneário Camboriú,4202008,2,4
2020-03-20,SC,Balneário Camboriú,4202008,0,4
2020-03-21,SC,Balneário Camboriú,4202008,2,6
2020-03-22,SC,Balneário Camboriú,4202008,0,6
2020-03-23,SC,Balneário Camboriú,4202008,0,6
2020-03-05,RJ,Barra Mansa,3300407,1,1
2020-03-06,RJ,Barra Mansa,3300407,0,1
2020-03-07,RJ,Barra Mansa,3300407,0,1
2020-03-08,RJ,Barra Mansa,3300407,0,1
2020-03-09,RJ,Barra Mansa,3300407,0,1
2020-03-10,RJ,Barra Mansa,3300407,0,1
2020-03-11,RJ,Barra Mansa,3300407,0,1
2020-03-12,RJ,Barra Mansa,3300407,0,1
2020-03-13,RJ,Barra Mansa,3300407,0,1
2020-03-14,RJ,Barra Mansa,3300407,0,1
2020-03-15,RJ,Barra Mansa,3300407,0,1
2020-03-16,RJ,Barra Mansa,3300407,0,1
2020-03-17,RJ,Barra Mansa,3300407,0,1
2020-03-18,RJ,Barra Mansa,3300407,0,1
2020-03-19,RJ,Barra Mansa,3300407,0,1
2020-03-20,RJ,Barra Mansa,3300407,0,1
2020-03-21,RJ,Barra Mansa,3300407,0,1
2020-03-22,RJ,Barra Mansa,3300407,0,1
2020-03-23,RJ,Barra Mansa,3300407,0,1
2020-03-22,BA,Barreiras,2903201,1,1
2020-03-23,BA,Barreiras,2903201,0,1
2020-03-18,SP,Barueri,3505708,1,1
2020-03-19,SP,Barueri,3505708,0,1
2020-03-20,SP,Barueri,3505708,0,1
2020-03-21,SP,Barueri,3505708,0,1
2020-03-22,SP,Barueri,3505708,0,1
2020-03-23,SP,Barueri,3505708,0,1
