date,suspects,refuses,cases,deaths
2020-02-13,0,1,0,0
2020-02-14,0,1,0,0
2020-02-15,0,1,0,0
2020-02-16,0,1,0,0
2020-02-17,0,1,0,0
2020-02-19,0,1,0,0
2020-02-20,0,1,0,0
2020-02-21,0,1,0,0
2020-02-22,0,1,0,0
2020-02-23,0,1,0,0
2020-02-24,0,1,0,0
2020-02-25,0,1,0,0
2020-02-25,0,1,0,0
2020-02-26,0,1,0,0
2020-02-27,5,1,0,0
2020-02-28,5,1,0,0
2020-02-29,5,1,0,0
2020-03-01,5,1,0,0
2020-03-02,12,3,0,0
2020-03-03,12,3,0,0
2020-03-04,18,5,0,0
2020-03-05,20,9,0,0
2020-03-06,36,13,0,0
2020-03-07,30,19,1,0
2020-03-08,24,24,1,0
2020-03-10,59,24,1,0
2020-03-11,74,28,2,0
2020-03-12,82,44,2,0
2020-03-13,75,53,2,0
2020-03-14,107,65,6,0
2020-03-15,81,91,8,0
2020-03-16,107,93,13,0
2020-03-17,253,96,22,0
2020-03-18,327,107,26,0
