date,suspects,refuses,cases,deaths
2020-01-30,2,2,0,0
2020-01-31,2,3,0,0
2020-02-01,4,3,0,0
2020-02-02,4,3,0,0
2020-02-03,4,3,0,0
2020-02-04,4,3,0,0
2020-02-05,5,3,0,0
2020-02-06,3,5,0,0
2020-02-06,3,5,0,0
2020-02-07,2,6,0,0
2020-02-08,3,6,0,0
2020-02-09,3,6,0,0
2020-02-10,1,8,0,0
2020-02-11,1,8,0,0
2020-02-12,1,8,0,0
2020-02-13,2,8,0,0
2020-02-14,2,8,0,0
2020-02-15,1,9,0,0
2020-02-16,1,9,0,0
2020-02-17,1,9,0,0
2020-02-18,1,9,0,0
2020-02-19,1,9,0,0
2020-02-20,0,10,0,0
2020-02-21,0,10,0,0
2020-02-22,0,10,0,0
2020-02-23,0,10,0,0
2020-02-24,0,10,0,0
2020-02-25,0,10,0,0
2020-02-25,0,10,0,0
2020-02-26,0,10,0,0
2020-02-27,24,10,0,0
2020-02-28,27,10,0,0
2020-02-29,27,10,0,0
2020-03-01,27,10,0,0
2020-03-02,73,10,0,0
2020-03-03,82,20,0,0
2020-03-04,98,20,0,0
2020-03-05,104,25,0,0
2020-03-06,112,41,0,0
2020-03-07,88,75,0,0
2020-03-08,88,75,0,0
2020-03-10,70,129,1,0
2020-03-11,67,159,2,0
2020-03-12,81,183,4,0
2020-03-13,81,203,4,0
2020-03-14,80,203,6,0
2020-03-15,66,217,6,0
2020-03-16,119,218,6,0
2020-03-17,300,217,10,0
2020-03-18,416,330,19,0
