date,uf,new_cases,cases
2020-02-25,SP,1,1
2020-02-29,SP,1,2
2020-03-04,SP,1,3
2020-03-05,ES,1,1
2020-03-05,RJ,1,1
2020-03-05,SP,3,6
2020-03-06,BA,1,1
2020-03-06,ES,0,1
2020-03-06,RJ,0,1
2020-03-06,SP,4,10
2020-03-07,BA,1,2
2020-03-07,DF,1,1
2020-03-07,ES,0,1
2020-03-07,RJ,1,2
2020-03-07,SP,3,13
2020-03-08,AL,1,1
2020-03-08,BA,0,2
2020-03-08,DF,0,1
2020-03-08,ES,0,1
2020-03-08,MG,1,1
2020-03-08,RJ,1,3
2020-03-08,SP,3,16
2020-03-09,AL,0,1
2020-03-09,BA,0,2
2020-03-09,DF,0,1
2020-03-09,ES,0,1
2020-03-09,MG,0,1
2020-03-09,RJ,5,8
2020-03-09,SP,0,16
2020-03-10,AL,0,1
2020-03-10,BA,0,2
2020-03-10,DF,1,2
2020-03-10,ES,0,1
2020-03-10,MG,0,1
2020-03-10,RJ,0,8
2020-03-10,RS,1,1
2020-03-10,SP,3,19
2020-03-11,AL,0,1
2020-03-11,BA,1,3
2020-03-11,DF,0,2
2020-03-11,ES,0,1
2020-03-11,MG,0,1
2020-03-11,RJ,6,14
2020-03-11,RS,1,2
2020-03-11,SP,26,45
2020-03-12,AL,0,1
2020-03-12,BA,0,3
2020-03-12,DF,1,3
2020-03-12,ES,1,2
2020-03-12,GO,3,3
2020-03-12,MG,1,2
2020-03-12,PE,2,2
2020-03-12,PR,6,6
2020-03-12,RJ,2,16
2020-03-12,RN,1,1
2020-03-12,RS,2,4
2020-03-12,SC,2,2
2020-03-12,SP,19,64
2020-03-13,AL,0,1
2020-03-13,AM,1,1
2020-03-13,BA,4,7
2020-03-13,DF,0,3
2020-03-13,ES,0,2
2020-03-13,GO,0,3
2020-03-13,MG,0,2
2020-03-13,PE,0,2
2020-03-13,PR,0,6
2020-03-13,RJ,3,19
2020-03-13,RN,0,1
2020-03-13,RS,2,6
2020-03-13,SC,1,3
2020-03-13,SP,0,64
2020-03-14,AL,0,1
2020-03-14,AM,0,1
2020-03-14,BA,0,7
2020-03-14,DF,5,8
2020-03-14,ES,2,4
2020-03-14,GO,1,4
2020-03-14,MG,2,4
2020-03-14,MS,2,2
2020-03-14,PE,5,7
2020-03-14,PR,0,6
2020-03-14,RJ,5,24
2020-03-14,RN,0,1
2020-03-14,RS,1,7
2020-03-14,SC,2,5
2020-03-14,SE,1,1
2020-03-14,SP,1,65
2020-03-15,AL,0,1
2020-03-15,AM,0,1
2020-03-15,BA,2,9
2020-03-15,CE,3,3
2020-03-15,DF,6,14
