country,state,city,ibge_code_city,ibge_desc_city,ibge_desc_state,datasus_id_drs,datasus_desc_drs
Brazil,RS,Alvorada/RS,430060,Alvorada,RS,217,Porto Alegre-02
Brazil,GO,Anápolis/GO,520110,Anápolis,GO,251,Sem div.adm.estadual GO
Brazil,GO,Aparecida de Goiânia/GO,520140,Aparecida de Goiânia,GO,251,Sem div.adm.estadual GO
Brazil,CE,Aquiraz/CE,230100,Aquiraz,CE,33,Fortaleza
Brazil,SE,Aracaju/SE,280030,Aracaju,SE,85,Sem div.adm.estadual SE
Brazil,RS,Bagé/RS,430160,Bagé,RS,222,Bagé
Brazil,SC,Balneário Camboriú/SC,420200,Balneário Camboriú,SC,195,Itajaí
Brazil,RJ,Barra Mansa/RJ,330040,Barra Mansa,RJ,155,Médio Paraíba
Brazil,SP,Barueri/SP,350570,Barueri,SP,159,Grande São Paulo
Brazil,PA,Belém/PA,150140,Belém,PA,12,Sem div.adm.estadual PA
Brazil,MG,Belo Horizonte/MG,310620,Belo Horizonte,MG,119,SRS Belo Horizonte
Brazil,PE,Belo Jardim/PE,260170,Belo Jardim,PE,73,IV Geres Caruaru
Brazil,RS,Bento Gonçalves/RS,430210,Bento Gonçalves,RS,220,Caxias do Sul
Brazil,SC,Braço do Norte/SC,420280,Braço do Norte,SC,214,Braço do Norte
Brazil,DF,Brasília/DF,530010,Brasília,DF,253,Sem div.adm.estadual DF
Brazil,ES,Cachoeiro de Itapemirim/ES,320120,Cachoeiro de Itapemirim,ES,148,Sem div.adm.estadual ES
Brazil,BA,Camaçari/BA,290570,Camaçari,BA,87,Salvador
Brazil,SP,Campinas/SP,350950,Campinas,SP,165,Campinas
Brazil,RS,Campo Bom/RS,430390,Campo Bom,RS,216,Porto Alegre-01
Brazil,MS,Campo Grande/MS,500270,Campo Grande,MS,246,Campo Grande
Brazil,PR,Campo Largo/PR,410420,Campo Largo,PR,177,Sem div.adm.estadual PR
Brazil,RS,Canoas/RS,430460,Canoas,RS,216,Porto Alegre-01
Brazil,SP,Carapicuíba/SP,351060,Carapicuíba,SP,159,Grande São Paulo
Brazil,ES,Cariacica/ES,320130,Cariacica,ES,148,Sem div.adm.estadual ES
Brazil,RS,Caxias do Sul/RS,430510,Caxias do Sul,RS,220,Caxias do Sul
Brazil,SC,Chapecó/SC,420420,Chapecó,SC,182,Chapecó
Brazil,RS,Charqueadas/RS,430535,Charqueadas,RS,217,Porto Alegre-02
Brazil,PR,Cianorte/PR,410550,Cianorte,PR,177,Sem div.adm.estadual PR
Brazil,MG,Coronel Fabriciano/MG,311940,Coronel Fabriciano,MG,140,SRS Coronel Fabriciano
Brazil,SP,Cotia/SP,351300,Cotia,SP,159,Grande São Paulo
Brazil,SC,Criciúma/SC,420460,Criciúma,SC,199,Criciúma
Brazil,MT,Cuiabá/MT,510340,Cuiabá,MT,249,Sem div.adm.estadual MT
Brazil,PR,Curitiba/PR,410690,Curitiba,PR,177,Sem div.adm.estadual PR
Brazil,MG,Divinópolis/MG,312230,Divinópolis,MG,132,SRS Divinópolis
Brazil,RS,Dois Irmãos/RS,430640,Dois Irmãos,RS,216,Porto Alegre-01
Brazil,RS,Eldorado do Sul/RS,430676,Eldorado do Sul,RS,217,Porto Alegre-02
Brazil,RS,Erechim/RS,430700,Erechim,RS,226,Erechim
Brazil,RS,Farroupilha/RS,430790,Farroupilha,RS,220,Caxias do Sul
Brazil,BA,Feira de Santana/BA,291080,Feira de Santana,BA,88,Feira de Santana
Brazil,SP,Ferraz de Vasconcelos/SP,351570,Ferraz de Vasconcelos,SP,159,Grande São Paulo
Brazil,SC,Florianópolis/SC,420540,Florianópolis,SC,196,Grande Florianópolis
Brazil,CE,Fortaleza/CE,230440,Fortaleza,CE,33,Fortaleza
Brazil,CE,Fortim/CE,230445,Fortim,CE,39,Aracati
Brazil,PR,Foz do Iguaçu/PR,410830,Foz do Iguaçu,PR,177,Sem div.adm.estadual PR
Brazil,GO,Goiânia/GO,520870,Goiânia,GO,251,Sem div.adm.estadual GO
Brazil,PR,Guaíra/PR,410880,Guaíra,PR,177,Sem div.adm.estadual PR
Brazil,RJ,Guapimirim/RJ,330185,Guapimirim,RJ,150,Metropolitana
Brazil,SP,Guarulhos/SP,351880,Guarulhos,SP,159,Grande São Paulo
Brazil,SP,Hortolândia/SP,351907,Hortolândia,SP,165,Campinas
Brazil,SC,Imbituba/SC,420730,Imbituba,SC,197,Laguna
Brazil,MG,Ipatinga/MG,313130,Ipatinga,MG,140,SRS Coronel Fabriciano
Brazil,BA,Itabuna/BA,291480,Itabuna,BA,93,Itabuna
Brazil,SC,Itajaí/SC,420820,Itajaí,SC,195,Itajaí
Brazil,RS,Ivoti/RS,431080,Ivoti,RS,216,Porto Alegre-01
Brazil,PE,Jaboatão dos Guararapes/PE,260790,Jaboatão dos Guararapes,PE,70,I Geres Recife
Brazil,SP,Jaguariúna/SP,352470,Jaguariúna,SP,165,Campinas
Brazil,SC,Jaraguá do Sul/SC,420890,Jaraguá do Sul,SC,202,Jaraguá do Sul
Brazil,GO,Jataí/GO,521190,Jataí,GO,251,Sem div.adm.estadual GO
Brazil,RO,Ji-Paraná/RO,110012,Ji-Paraná,RO,1,I DRS
Brazil,PB,João Pessoa/PB,250750,João Pessoa,PB,57,I NRS
Brazil,SC,Joinville/SC,420910,Joinville,SC,201,Joinville
Brazil,CE,Juazeiro do Norte/CE,230730,Juazeiro do Norte,CE,53,Juazeiro do Norte
Brazil,MG,Juiz de Fora/MG,313670,Juiz de Fora,MG,122,SRS Juiz de Fora
Brazil,BA,Lauro de Freitas/BA,291920,Lauro de Freitas,BA,87,Salvador
Brazil,ES,Linhares/ES,320320,Linhares,ES,148,Sem div.adm.estadual ES
Brazil,PR,Londrina/PR,411370,Londrina,PR,177,Sem div.adm.estadual PR
Brazil,AP,Macapá/AP,160030,Macapá,AP,14,I RS
Brazil,AL,Maceió/AL,270430,Maceió,AL,83,Sem div.adm.estadual AL
Brazil,AM,Manaus/AM,130260,Manaus,AM,8,Sem div.adm.estadual AM
Brazil,MG,Mariana/MG,314000,Mariana,MG,119,SRS Belo Horizonte
Brazil,PR,Maringá/PR,411520,Maringá,PR,177,Sem div.adm.estadual PR
Brazil,SP,Mauá/SP,352940,Mauá,SP,159,Grande São Paulo
Brazil,RJ,Miguel Pereira/RJ,330290,Miguel Pereira,RJ,156,Centro-Sul Fluminense
