uf,city,estimated_population
RO,Alta Floresta D'Oeste,22945
RO,Ariquemes,107863
RO,Cabixi,5312
RO,Cacoal,85359
RO,Cerejeiras,16323
RO,Colorado do Oeste,15882
RO,Corumbiara,7391
RO,Costa Marques,18331
RO,Espigão D'Oeste,32374
RO,Guajará-Mirim,46174
RO,Jaru,51775
RO,Ji-Paraná,128969
RO,Machadinho D'Oeste,39991
RO,Nova Brasilândia D'Oeste,20474
RO,Ouro Preto do Oeste,36035
RO,Pimenta Bueno,36660
RO,Porto Velho,529544
RO,Presidente Médici,18986
RO,Rio Crespo,3764
RO,Rolim de Moura,55058
RO,Santa Luzia D'Oeste,6495
RO,Vilhena,99854
RO,São Miguel do Guaporé,23005
RO,Nova Mamoré,30583
RO,Alvorada D'Oeste,14411
RO,Alto Alegre dos Parecis,13241
RO,Alto Paraíso,21428
RO,Buritis,39654
RO,Novo Horizonte do Oeste,8538
RO,Cacaulândia,6230
RO,Campo Novo de Rondônia,14139
RO,Candeias do Jamari,26693
RO,Castanheiras,3052
RO,Chupinguaia,11182
RO,Cujubim,25215
RO,Governador Jorge Teixeira,7767
RO,Itapuã do Oeste,10458
RO,Ministro Andreazza,9660
RO,Mirante da Serra,10947
RO,Monte Negro,15852
RO,Nova União,6970
RO,Parecis,6074
RO,Pimenteiras do Oeste,2169
RO,Primavera de Rondônia,2856
RO,São Felipe D'Oeste,5172
RO,São Francisco do Guaporé,20266
RO,Seringueiras,11856
RO,Teixeirópolis,4308
RO,Theobroma,10444
RO,Urupá,11467
RO,Vale do Anari,11204
RO,Vale do Paraíso,6825
AC,Acrelândia,15256
AC,Assis Brasil,7417
AC,Brasiléia,26278
AC,Bujari,10266
AC,Capixaba,11733
AC,Cruzeiro do Sul,88376
AC,Epitaciolândia,18411
AC,Feijó,34780
AC,Jordão,8317
AC,Mâncio Lima,18977
AC,Manoel Urbano,9459
AC,Marechal Thaumaturgo,18867
AC,Plácido de Castro,19761
AC,Porto Walter,11982
AC,Rio Branco,407319
AC,Rodrigues Alves,18930
AC,Santa Rosa do Purus,6540
AC,Senador Guiomard,23024
AC,Sena Madureira,45848
AC,Tarauacá,42567
AC,Xapuri,19323
AC,Porto Acre,18504
AM,Alvarães,16041
AM,Amaturá,11536
AM,Anamã,13614
AM,Anori,21010
AM,Apuí,21973
AM,Atalaia do Norte,19921
AM,Autazes,39565
AM,Barcelos,27502
AM,Barreirinha,32041
AM,Benjamin Constant,42984
AM,Beruri,19679
AM,Boa Vista do Ramos,19207
AM,Boca do Acre,34308
AM,Borba,41161
AM,Caapiranga,13081
AM,Canutama,15629
AM,Carauari,28294
AM,Careiro,37869
AM,Careiro da Várzea,30225
AM,Coari,85097
AM,Codajás,28637
AM,Eirunepé,35273
AM,Envira,20033
AM,Fonte Boa,17609
AM,Guajará,16678
AM,Humaitá,55080
AM,Ipixuna,29689
AM,Iranduba,48296
AM,Itacoatiara,101337
AM,Itamarati,7851
AM,Itapiranga,9148
AM,Japurá,2755
AM,Juruá,14712
AM,Jutaí,14317
AM,Lábrea,46069
AM,Manacapuru,97377
AM,Manaquiri,32105
AM,Manaus,2182763
AM,Manicoré,55751
AM,Maraã,18224
AM,Maués,63905
AM,Nhamundá,21173
AM,Nova Olinda do Norte,37378
AM,Novo Airão,19454
AM,Novo Aripuanã,25644
AM,Parintins,114273
AM,Pauini,19426
AM,Presidente Figueiredo,36279
AM,Rio Preto da Eva,33347
AM,Santa Isabel do Rio Negro,25156
AM,Santo Antônio do Içá,21602
AM,São Gabriel da Cachoeira,45564
AM,São Paulo de Olivença,39299
AM,São Sebastião do Uatumã,14020
AM,Silves,9171
AM,Tabatinga,65844
AM,Tapauá,17156
AM,Tefé,59849
AM,Tonantins,18755
AM,Uarini,13540
AM,Urucará,16256
AM,Urucurituba,23065
RR,Amajari,12796
RR,Alto Alegre,15510
RR,Boa Vista,399213
RR,Bonfim,12409
RR,Cantá,18335
RR,Caracaraí,21926
RR,Caroebe,10169
RR,Iracema,11950
RR,Mucajaí,17853
RR,Normandia,11290
RR,Pacaraima,17401
RR,Rorainópolis,30163
RR,São João da Baliza,8201
RR,São Luiz,7986
RR,Uiramutã,10559
PA,Abaetetuba,157698
PA,Abel Figueiredo,7434
PA,Acará,55591
PA,Afuá,39218
PA,Água Azul do Norte,27430
PA,Alenquer,56789
PA,Almeirim,34109
PA,Altamira,114594
PA,Anajás,29277
PA,Ananindeua,530598
PA,Anapu,27890
PA,Augusto Corrêa,45998
PA,Aurora do Pará,31338
PA,Aveiro,16388
PA,Bagre,30673
PA,Baião,47446
PA,Bannach,3286
PA,Barcarena,124680
PA,Belém,1492745
PA,Belterra,17732
PA,Benevides,62737
PA,Bom Jesus do Tocantins,16981
PA,Bonito,16286
PA,Bragança,127686
PA,Brasil Novo,15086
PA,Brejo Grande do Araguaia,7380
PA,Breu Branco,66046
PA,Breves,102701
PA,Bujaru,29132
PA,Cachoeira do Piriá,33900
PA,Cachoeira do Arari,23767
PA,Cametá,137890
PA,Canaã dos Carajás,37085
PA,Capanema,69027
PA,Capitão Poço,54303
PA,Castanhal,200793
PA,Chaves,23717
PA,Colares,12085
PA,Conceição do Araguaia,47864
PA,Concórdia do Pará,33318
PA,Cumaru do Norte,13473
PA,Curionópolis,17929
PA,Curralinho,34448
PA,Curuá,14393
PA,Curuçá,40066
PA,Dom Eliseu,59719
PA,Eldorado do Carajás,33808
PA,Faro,7194
PA,Floresta do Araguaia,20304
PA,Garrafão do Norte,26066
PA,Goianésia do Pará,40475
PA,Gurupá,33376
PA,Igarapé-Açu,38807
PA,Igarapé-Miri,62698
PA,Inhangapi,11711
PA,Ipixuna do Pará,64053
PA,Irituia,32550
PA,Itaituba,101247
PA,Itupiranga,53269
PA,Jacareacanga,8239
PA,Jacundá,59155
PA,Juruti,57943
PA,Limoeiro do Ajuru,28935
PA,Mãe do Rio,30077
PA,Magalhães Barata,8548
PA,Marabá,279349
PA,Maracanã,29473
PA,Marapanim,28336
PA,Marituba,131521
PA,Medicilândia,31597
PA,Melgaço,27654
PA,Mocajuba,31136
PA,Moju,82094
PA,Mojuí dos Campos,16084
PA,Monte Alegre,58032
PA,Muaná,40349
PA,Nova Esperança do Piriá,21368
PA,Nova Ipixuna,16678
PA,Nova Timboteua,15363
PA,Novo Progresso,25762
PA,Novo Repartimento,75919
PA,Óbidos,52137
PA,Oeiras do Pará,32512
PA,Oriximiná,73096
PA,Ourém,17842
PA,Ourilândia do Norte,32832
PA,Pacajá,47706
PA,Palestina do Pará,7589
PA,Paragominas,113145
PA,Parauapebas,208273
PA,Pau D'Arco,5483
PA,Peixe-Boi,8077
PA,Piçarra,12981
PA,Placas,30982
PA,Ponta de Pedras,31082
PA,Portel,62043
PA,Porto de Moz,41135
PA,Prainha,29866
PA,Primavera,10825
PA,Quatipuru,13608
PA,Redenção,84787
PA,Rio Maria,18193
PA,Rondon do Pará,52357
PA,Rurópolis,50510
PA,Salinópolis,40675
PA,Salvaterra,23752
PA,Santa Bárbara do Pará,21079
PA,Santa Cruz do Arari,10128
PA,Santa Izabel do Pará,70801
PA,Santa Luzia do Pará,19848
PA,Santa Maria das Barreiras,21449
PA,Santa Maria do Pará,24861
PA,Santana do Araguaia,72817
PA,Santarém,304589
PA,Santarém Novo,6709
PA,Santo Antônio do Tauá,31482
PA,São Caetano de Odivelas,18050
PA,São Domingos do Araguaia,25557
PA,São Domingos do Capim,31989
PA,São Félix do Xingu,128481
PA,São Francisco do Pará,15882
PA,São Geraldo do Araguaia,24847
PA,São João da Ponta,6139
PA,São João de Pirabas,23045
PA,São João do Araguaia,13996
PA,São Miguel do Guamá,58986
PA,São Sebastião da Boa Vista,26640
PA,Sapucaia,5930
PA,Senador José Porfírio,11658
PA,Soure,25374
PA,Tailândia,106339
PA,Terra Alta,11720
PA,Terra Santa,18769
PA,Tomé-Açu,63447
PA,Tracuateua,30959
PA,Trairão,18989
PA,Tucumã,39602
PA,Tucuruí,113659
PA,Ulianópolis,59210
PA,Uruará,45476
PA,Vigia,53686
PA,Viseu,61403
PA,Vitória do Xingu,15134
PA,Xinguara,44751
AP,Serra do Navio,5397
AP,Amapá,9109
AP,Pedra Branca do Amapari,16502
AP,Calçoene,11117
AP,Cutias,5983
AP,Ferreira Gomes,7780
AP,Itaubal,5503
AP,Laranjal do Jari,50410
AP,Macapá,503327
AP,Mazagão,21632
AP,Oiapoque,27270
AP,Porto Grande,21971
AP,Pracuúba,5120
AP,Santana,121364
AP,Tartarugalzinho,17315
AP,Vitória do Jari,15931
TO,Abreulândia,2579
TO,Aguiarnópolis,6733
TO,Aliança do Tocantins,5390
TO,Almas,7055
TO,Alvorada,8412
TO,Ananás,9549
TO,Angico,3433
TO,Aparecida do Rio Negro,4795
TO,Aragominas,5758
TO,Araguacema,7086
TO,Araguaçu,8517
TO,Araguaína,180470
TO,Araguanã,5729
TO,Araguatins,35761
TO,Arapoema,6643
TO,Arraias,10567
TO,Augustinópolis,18412
TO,Aurora do Tocantins,3757
TO,Axixá do Tocantins,9756
TO,Babaçulândia,10664
TO,Bandeirantes do Tocantins,3553
TO,Barra do Ouro,4591
TO,Barrolândia,5632
TO,Bernardo Sayão,4459
TO,Bom Jesus do Tocantins,4894
