Time,Occupied_beds,ICU_Occupied_beds,Median_beds,ICU_Median_beds,Beds_5_percent,ICU_Beds_5_percent,Beds_95_percent,ICU_Beds_95_percent,Queue,Median_queue,Queue_5_percent,Queue_95_percent,ICU_Queue,ICU_Median_queue,ICU_Queue_5_percent,ICU_Queue_95_percent
20,150,12,150.0,12.0,150.0,7.95,150.0,16.049999999999983,412,2642.0,615.2,4630.2,0,0.0,0.0,0.0
21,150,12,150.0,12.0,150.0,7.95,150.0,16.049999999999983,452,2642.0,615.2,4630.2,0,0.0,0.0,0.0
22,150,11,150.0,12.0,150.0,7.95,150.0,16.049999999999983,482,2642.0,615.2,4630.2,0,0.0,0.0,0.0
23,150,14,150.0,12.0,150.0,7.95,150.0,16.049999999999983,513,2642.0,615.2,4630.2,0,0.0,0.0,0.0
24,150,15,150.0,12.0,150.0,7.95,150.0,16.049999999999983,535,2642.0,615.2,4630.2,0,0.0,0.0,0.0
25,150,10,150.0,12.0,150.0,7.95,150.0,16.049999999999983,557,2642.0,615.2,4630.2,0,0.0,0.0,0.0
26,150,12,150.0,12.0,150.0,7.95,150.0,16.049999999999983,580,2642.0,615.2,4630.2,0,0.0,0.0,0.0
27,150,10,150.0,12.0,150.0,7.95,150.0,16.049999999999983,600,2642.0,615.2,4630.2,0,0.0,0.0,0.0
28,150,9,150.0,12.0,150.0,7.95,150.0,16.049999999999983,616,2642.0,615.2,4630.2,0,0.0,0.0,0.0
29,150,9,150.0,12.0,150.0,7.95,150.0,16.049999999999983,645,2642.0,615.2,4630.2,0,0.0,0.0,0.0
30,150,7,150.0,12.0,150.0,7.95,150.0,16.049999999999983,665,2642.0,615.2,4630.2,0,0.0,0.0,0.0
31,150,9,150.0,12.0,150.0,7.95,150.0,16.049999999999983,682,2642.0,615.2,4630.2,0,0.0,0.0,0.0
32,150,8,150.0,12.0,150.0,7.95,150.0,16.049999999999983,709,2642.0,615.2,4630.2,0,0.0,0.0,0.0
33,150,8,150.0,12.0,150.0,7.95,150.0,16.049999999999983,736,2642.0,615.2,4630.2,0,0.0,0.0,0.0
34,150,9,150.0,12.0,150.0,7.95,150.0,16.049999999999983,773,2642.0,615.2,4630.2,0,0.0,0.0,0.0
35,150,9,150.0,12.0,150.0,7.95,150.0,16.049999999999983,802,2642.0,615.2,4630.2,0,0.0,0.0,0.0
36,150,12,150.0,12.0,150.0,7.95,150.0,16.049999999999983,830,2642.0,615.2,4630.2,0,0.0,0.0,0.0
37,150,13,150.0,12.0,150.0,7.95,150.0,16.049999999999983,857,2642.0,615.2,4630.2,0,0.0,0.0,0.0
38,150,15,150.0,12.0,150.0,7.95,150.0,16.049999999999983,886,2642.0,615.2,4630.2,0,0.0,0.0,0.0
