cod_ibge;municipio;qtd_leitos;qtd_uti
110001;Alta Floresta d'Oeste;33;0
110002;Ariquemes;163;19
110003;Cabixi;5;0
110004;Cacoal;261;28
110005;Cerejeiras;27;0
110006;Colorado do Oeste;31;0
110007;Corumbiara;16;0
110008;Costa Marques;34;0
110009;Espigão d'Oeste;37;0
110010;Guajará-Mirim;39;0
110011;Jaru;62;0
110012;Ji-Paraná;156;10
110013;Machadinho d'Oeste;27;0
110014;Nova Brasilândia d'Oeste;30;0
110015;Ouro Preto do Oeste;55;0
110018;Pimenta Bueno;23;0
110020;Porto Velho;1340;165
110025;Presidente Médici;32;0
110026;Rio Crespo;8;0
110028;Rolim de Moura;54;0
110029;Santa Luzia d'Oeste;16;0
110030;Vilhena;144;10
110032;São Miguel do Guaporé;27;0
110033;Nova Mamoré;11;0
110034;Alvorada d'Oeste;19;0
110037;Alto Alegre dos Parecis;8;0
110040;Alto Paraíso;12;0
110045;Buritis;31;0
110050;Novo Horizonte do Oeste;13;0
110060;Cacaulândia;16;0
110070;Campo Novo de Rondônia;12;0
110080;Candeias do Jamari;5;0
110090;Castanheiras;7;0
110092;Chupinguaia;6;0
110094;Cujubim;8;0
110100;Governador Jorge Teixeira;11;0
110110;Itapuã do Oeste;10;0
110120;Ministro Andreazza;10;0
110130;Mirante da Serra;16;0
110140;Monte Negro;18;0
110143;Nova União;9;0
110145;Parecis;6;0
110146;Pimenteiras do Oeste;5;0
110148;São Felipe d'Oeste;7;0
110149;São Francisco do Guaporé;15;0
110150;Seringueiras;56;0
110155;Teixeirópolis;5;0
110160;Theobroma;9;0
110170;Urupá;10;0
110175;Vale do Anari;9;0
110180;Vale do Paraíso;10;0
120001;Acrelândia;9;0
120005;Assis Brasil;7;0
120010;Brasiléia;23;0
120020;Cruzeiro do Sul;116;7
120030;Feijó;23;0
120032;Jordão;7;0
120033;Mâncio Lima;12;0
120034;Manoel Urbano;14;0
120035;Marechal Thaumaturgo;8;0
120038;Plácido de Castro;27;0
120039;Porto Walter;8;0
120040;Rio Branco;514;36
120042;Rodrigues Alves;8;0
120043;Santa Rosa do Purus;11;0
120045;Senador Guiomard;23;0
120050;Sena Madureira;32;0
120060;Tarauacá;19;0
120070;Xapuri;19;0
130002;Alvarães;10;0
130006;Amaturá;12;0
130008;Anamã;12;0
130010;Anori;11;0
130014;Apuí;26;0
130020;Atalaia do Norte;18;0
130030;Autazes;17;0
130040;Barcelos;17;0
130050;Barreirinha;16;0
130060;Benjamin Constant;18;0
130063;Beruri;4;0
130068;Boa Vista do Ramos;10;0
130070;Boca do Acre;34;0
130080;Borba;20;0
130083;Caapiranga;12;0
130090;Canutama;7;0
130100;Carauari;28;0
130110;Careiro;10;0
130120;Coari;49;0
130130;Codajás;20;0
130140;Eirunepé;29;0
130150;Envira;11;0
130160;Fonte Boa;37;0
130165;Guajará;15;0
130170;Humaitá;22;0
130180;Ipixuna;15;0
130185;Iranduba;22;0
130190;Itacoatiara;61;0
130195;Itamarati;10;0
130200;Itapiranga;11;0
130210;Japurá;9;0
130220;Juruá;10;0
130230;Jutaí;12;0
130240;Lábrea;25;0
130250;Manacapuru;42;0
130255;Manaquiri;14;0
130260;Manaus;2363;315
130270;Manicoré;22;0
130280;Maraã;10;0
130290;Maués;49;0
130300;Nhamundá;11;0
130310;Nova Olinda do Norte;17;0
130320;Novo Airão;8;0
130330;Novo Aripuanã;16;0
130340;Parintins;64;0
130350;Pauini;16;0
130353;Presidente Figueiredo;17;0
130356;Rio Preto da Eva;16;0
130360;Santa Isabel do Rio Negro;10;0
130370;Santo Antônio do Içá;41;0
130380;São Gabriel da Cachoeira;43;0
130390;São Paulo de Olivença;13;0
130395;São Sebastião do Uatumã;11;0
130400;Silves;13;0
130406;Tabatinga;31;0
130410;Tapauá;19;0
130420;Tefé;40;0
130423;Tonantins;14;0
130426;Uarini;11;0
130430;Urucará;25;0
130440;Urucurituba;19;0
140005;Alto Alegre;10;0
140010;Boa Vista;649;25
140015;Bonfim;12;0
140020;Caracaraí;15;0
140023;Caroebe;10;0
140028;Iracema;1;0
140030;Mucajaí;17;0
140040;Normandia;12;0
140045;Pacaraima;6;0
140047;Rorainópolis;22;0
140050;São João da Baliza;10;0
140060;São Luís;11;0
150010;Abaetetuba;153;0
150013;Abel Figueiredo;14;0
150020;Acará;17;0
150030;Afuá;14;0
150034;Água Azul do Norte;26;0
150040;Alenquer;62;0
150050;Almeirim;53;0
150060;Altamira;181;10
150070;Anajás;12;0
150080;Ananindeua;571;55
150085;Anapu;17;0
150090;Augusto Corrêa;56;0
150095;Aurora do Pará;28;0
150110;Bagre;9;0
150120;Baião;18;0
150125;Bannach;7;0
150130;Barcarena;63;10
150140;Belém;3119;439
150145;Belterra;11;0
150157;Bom Jesus do Tocantins;18;0
150170;Bragança;197;10
150172;Brasil Novo;18;0
150175;Brejo Grande do Araguaia;16;0
150178;Breu Branco;27;0
150180;Breves;98;7
150190;Bujaru;27;0
150200;Cachoeira do Arari;10;0
150210;Cametá;94;0
150215;Canaã dos Carajás;45;0
150220;Capanema;131;10
150230;Capitão Poço;93;0
150240;Castanhal;259;20
150250;Chaves;3;0
150260;Colares;4;0
150270;Conceição do Araguaia;75;0
150275;Concórdia do Pará;15;0
150276;Cumaru do Norte;7;0
150277;Curionópolis;18;0
150280;Curralinho;12;0
150290;Curuçá;16;0
150293;Dom Eliseu;58;0
150295;Eldorado dos Carajás;24;0
150300;Faro;5;0
150304;Floresta do Araguaia;12;0
150307;Garrafão do Norte;13;0
150309;Goianésia do Pará;10;0
150310;Gurupá;14;0
150320;Igarapé-Açu;26;0
150330;Igarapé-Miri;86;0
150340;Inhangapi;9;0
150345;Ipixuna do Pará;60;0
150350;Irituia;16;0
150360;Itaituba;204;0
150370;Itupiranga;38;0
150375;Jacareacanga;12;0
150380;Jacundá;99;0
150390;Juruti;43;0
150400;Limoeiro do Ajuru;12;0
150405;Mãe do Rio;28;0
150420;Marabá;198;20
150430;Maracanã;18;0
150440;Marapanim;11;0
150442;Marituba;111;7
150445;Medicilândia;23;0
150450;Melgaço;9;0
150460;Mocajuba;13;0
150470;Moju;29;0
150480;Monte Alegre;47;0
150490;Muaná;12;0
150495;Nova Esperança do Piriá;19;0
150497;Nova Ipixuna;7;0
150503;Novo Progresso;27;0
150506;Novo Repartimento;28;0
150510;Óbidos;38;0
150520;Oeiras do Pará;9;0
150530;Oriximiná;42;0
150540;Ourém;11;0
150543;Ourilândia do Norte;38;0
150548;Pacajá;24;0
150549;Palestina do Pará;12;0
150550;Paragominas;115;20
150553;Parauapebas;187;9
150555;Pau-d'Arco;12;0
150563;Piçarra;13;0
150565;Placas;17;0
150570;Ponta de Pedras;14;0
150580;Portel;16;0
150590;Porto de Moz;26;0
150600;Prainha;11;0
150613;Redenção;175;16
150616;Rio Maria;34;0
150618;Rondon do Pará;87;0
150619;Rurópolis;17;0
150620;Salinópolis;28;0
150630;Salvaterra;11;0
150640;Santa Cruz do Arari;5;0
150650;Santa Izabel do Pará;20;0
150655;Santa Luzia do Pará;8;0
150658;Santa Maria das Barreiras;15;0
150660;Santa Maria do Pará;22;0
150670;Santana do Araguaia;35;0
150680;Santarém;312;27
150700;Santo Antônio do Tauá;59;0
150710;São Caetano de Odivelas;9;0
150715;São Domingos do Araguaia;13;0
150720;São Domingos do Capim;18;0
150730;São Félix do Xingu;85;0
150745;São Geraldo do Araguaia;25;0
150747;São João de Pirabas;14;0
150750;São João do Araguaia;11;0
150760;São Miguel do Guamá;36;0
150770;São Sebastião da Boa Vista;18;0
150775;Sapucaia;7;0
150780;Senador José Porfírio;11;0
150790;Soure;33;0
150795;Tailândia;27;0
150797;Terra Santa;9;0
150800;Tomé-Açu;96;0
150803;Tracuateua;9;0
150805;Trairão;9;0
150808;Tucumã;52;0
150810;Tucuruí;171;11
150812;Ulianópolis;59;0
150815;Uruará;38;0
150820;Vigia;22;0
150830;Viseu;34;0
150835;Vitória do Xingu;24;0
150840;Xinguara;102;0
160005;Serra do Navio;16;0
160010;Amapá;20;0
160015;Pedra Branca do Amapari;8;0
160020;Calçoene;16;0
160023;Ferreira Gomes;6;0
160027;Laranjal do Jari;33;0
160030;Macapá;444;35
160040;Mazagão;6;0
160050;Oiapoque;20;0
160053;Porto Grande;24;0
160060;Santana;49;6
160070;Tartarugalzinho;10;0
160080;Vitória do Jari;5;0
170070;Alvorada;14;0
170100;Ananás;5;0
170190;Araguacema;10;0
170200;Araguaçu;15;0
170210;Araguaína;395;35
170220;Araguatins;11;0
170230;Arapoema;13;0
170240;Arraias;19;0
170255;Augustinópolis;52;0
170370;Brejinho de Nazaré;2;0
170550;Colinas do Tocantins;30;0
170610;Cristalândia;2;0
170700;Dianópolis;23;0
170710;Divinópolis do Tocantins;11;0
170720;Dois Irmãos do Tocantins;9;0
170730;Dueré;2;0
170765;Figueirópolis;1;0
