name,cod_ibge,date,new_cases,new_deaths
Afeganistão,,2020-01-22,0,0
África do Sul,,2020-01-22,0,0
Albânia,,2020-01-22,0,0
Alemanha,,2020-01-22,0,0
Andorra,,2020-01-22,0,0
Angola,,2020-01-22,0,0
Antígua e Barbuda,,2020-01-22,0,0
Arábia Saudita,,2020-01-22,0,0
Argélia,,2020-01-22,0,0
Argentina,,2020-01-22,0,0
Armênia,,2020-01-22,0,0
Áustria,,2020-01-22,0,0
Azerbaijão,,2020-01-22,0,0
Bahamas,,2020-01-22,0,0
Bangladesh,,2020-01-22,0,0
Barbados,,2020-01-22,0,0
Barein,,2020-01-22,0,0
Bélgica,,2020-01-22,0,0
Belize,,2020-01-22,0,0
Benin,,2020-01-22,0,0
Bermudas,,2020-01-22,0,0
Bielorrússia,,2020-01-22,0,0
Bolívia,,2020-01-22,0,0
Bósnia e Herzegovina,,2020-01-22,0,0
Brasil (John Hopkins),,2020-01-22,0,0
Brunei,,2020-01-22,0,0
Bulgária,,2020-01-22,0,0
Burkina Faso,,2020-01-22,0,0
Cabo Verde,,2020-01-22,0,0
Camarões,,2020-01-22,0,0
Camboja,,2020-01-22,0,0
Catar,,2020-01-22,0,0
Cazaquistão,,2020-01-22,0,0
Chade,,2020-01-22,0,0
Chile,,2020-01-22,0,0
Chipre,,2020-01-22,0,0
Cingapura,,2020-01-22,0,0
Colômbia,,2020-01-22,0,0
Congo (Brazzaville),,2020-01-22,0,0
Congo (Kinshasa),,2020-01-22,0,0
Coreia do Sul,,2020-01-22,0,0
Costa do Marfim,,2020-01-22,0,0
Costa Rica,,2020-01-22,0,0
Croácia,,2020-01-22,0,0
Cuba,,2020-01-22,0,0
﻿Diamond Princess,,2020-01-22,0,0
Dinamarca,,2020-01-22,0,0
Dinamarca,,2020-01-22,0,0
Djibouti,,2020-01-22,0,0
Dominica,,2020-01-22,0,0
Egito,,2020-01-22,0,0
El Salvador,,2020-01-22,0,0
Emirados Árabes Unidos,,2020-01-22,0,0
Equador,,2020-01-22,0,0
Eritreia,,2020-01-22,0,0
Eslováquia,,2020-01-22,0,0
Eslovênia,,2020-01-22,0,0
Espanha,,2020-01-22,0,0
Estados Unidos da America,,2020-01-22,0,0
Estônia,,2020-01-22,0,0
Eswatini (Suazilândia),,2020-01-22,0,0
Etiópia,,2020-01-22,0,0
Fiji,,2020-01-22,0,0
Filipinas,,2020-01-22,0,0
Finlândia,,2020-01-22,0,0
França,,2020-01-22,0,0
Gabão,,2020-01-22,0,0
Gâmbia,,2020-01-22,0,0
Gana,,2020-01-22,0,0
Gaza,,2020-01-22,0,0
Geórgia,,2020-01-22,0,0
Granada,,2020-01-22,0,0
Grécia,,2020-01-22,0,0
Guatemala,,2020-01-22,0,0
Guiana,,2020-01-22,0,0
Guiné,,2020-01-22,0,0
Guiné Equatorial,,2020-01-22,0,0
Guiné-Bissau,,2020-01-22,0,0
Haiti,,2020-01-22,0,0
﻿Holy See,,2020-01-22,0,0
Honduras,,2020-01-22,0,0
Hungria,,2020-01-22,0,0
Ilhas Maurício,,2020-01-22,0,0
Índia,,2020-01-22,0,0
Indonésia,,2020-01-22,0,0
Irã,,2020-01-22,0,0
Iraque,,2020-01-22,0,0
Irlanda,,2020-01-22,0,0
Islândia,,2020-01-22,0,0
Israel,,2020-01-22,0,0
Itália,,2020-01-22,0,0
Jamaica,,2020-01-22,0,0
Japão,,2020-01-22,0,0
Jordânia,,2020-01-22,0,0
Kosovo,,2020-01-22,0,0
Kuwait,,2020-01-22,0,0
Laos,,2020-01-22,0,0
Letônia,,2020-01-22,0,0
Líbano,,2020-01-22,0,0
Libéria,,2020-01-22,0,0
Líbia,,2020-01-22,0,0
Liechtenstein,,2020-01-22,0,0
Lituânia,,2020-01-22,0,0
Luxemburgo,,2020-01-22,0,0
Macedônia do Norte,,2020-01-22,0,0
Madagáscar,,2020-01-22,0,0
Malásia,,2020-01-22,0,0
Maldivas,,2020-01-22,0,0
Mali,,2020-01-22,0,0
Malta,,2020-01-22,0,0
Marrocos,,2020-01-22,0,0
Mauritânia,,2020-01-22,0,0
México,,2020-01-22,0,0
Moçambique,,2020-01-22,0,0
Moldávia,,2020-01-22,0,0
Mônaco,,2020-01-22,0,0
Mongólia,,2020-01-22,0,0
Montenegro,,2020-01-22,0,0
Namíbia,,2020-01-22,0,0
Nepal,,2020-01-22,0,0
Nicarágua,,2020-01-22,0,0
Níger,,2020-01-22,0,0
Nigéria,,2020-01-22,0,0
Noruega,,2020-01-22,0,0
Nova Zelândia,,2020-01-22,0,0
Omã,,2020-01-22,0,0
Países Baixos,,2020-01-22,0,0
Países Baixos,,2020-01-22,0,0
Panamá,,2020-01-22,0,0
Papua Nova Guiné,,2020-01-22,0,0
Paquistão,,2020-01-22,0,0
Paraguai,,2020-01-22,0,0
Peru,,2020-01-22,0,0
Polônia,,2020-01-22,0,0
Portugal,,2020-01-22,0,0
Quênia,,2020-01-22,0,0
Quirguistão,,2020-01-22,0,0
Reino Unido,,2020-01-22,0,0
República Centro-Africana,,2020-01-22,0,0
República Checa,,2020-01-22,0,0
República Dominicana,,2020-01-22,0,0
Romênia,,2020-01-22,0,0
Ruanda,,2020-01-22,0,0
Rússia,,2020-01-22,0,0
﻿Saint Kitts e Nevis,,2020-01-22,0,0
San Marino,,2020-01-22,0,0
Santa Lúcia,,2020-01-22,0,0
São Vicente e Granadinas,,2020-01-22,0,0
Senegal,,2020-01-22,0,0
Sérvia,,2020-01-22,0,0
Seychelles,,2020-01-22,0,0
Síria,,2020-01-22,0,0
Somália,,2020-01-22,0,0
Sri Lanka,,2020-01-22,0,0
Sudão,,2020-01-22,0,0
Suécia,,2020-01-22,0,0
Suíça,,2020-01-22,0,0
Suriname,,2020-01-22,0,0
Tailândia,,2020-01-22,0,0
Taiwan,,2020-01-22,0,0
Tanzania,,2020-01-22,0,0
Timor-Leste,,2020-01-22,0,0
Togo,,2020-01-22,0,0
Trindade e Tobago,,2020-01-22,0,0
Tunísia,,2020-01-22,0,0
Turquia,,2020-01-22,0,0
Ucrânia,,2020-01-22,0,0
Uganda,,2020-01-22,0,0
Uruguai,,2020-01-22,0,0
