q0,q1,q2,q3,q4,q5,q6,q7
93,1309,1659,2089,3749,12173,12933,24445
1449,1449,4061,4061,4061,4061,12078,12078
141,611,1221,1911,2721,3741,4901,6339
627,627,1747,1747,1747,1747,1747,8359
53,230,463,3793,4119,4530,4994,5520
70,305,587,928,4167,4649,5236,5929
111,578,1638,2267,3147,4072,5204,6575
136,384,956,1623,2429,3476,4690,6095
78,337,632,986,1435,1967,5009,5747
89,387,749,1192,1692,2333,3147,6011
82,356,3200,3584,4032,4560,5185,5964
144,623,1182,1928,2699,3563,4630,5880
91,395,763,1189,2950,3579,4354,5289
127,551,1063,1705,2463,3350,5195,6418
12,2252,2301,2360,2431,4545,4636,4746
150,650,1221,1869,2619,3477,4529,6365
30,3824,3946,4087,4261,5257,5478,5737
91,395,745,1169,1669,3723,4411,5182
3,12,24,39,4739,4763,4792,4828
150,650,1222,1850,2571,3429,4471,5707
133,576,1120,1780,3081,3929,4982,6197
149,646,646,1404,2149,3220,4543,6062
71,760,2475,2880,3356,4298,4988,5817
150,150,721,1425,2277,2532,3805,5315
86,372,725,1172,1713,4099,5155,6143
124,537,1033,2410,3120,3948,4963,6076
21,91,174,2508,3554,3709,5594,5813
28,121,228,363,526,714,4725,4972
31,410,1324,4935,5099,5282,5503,5767
145,629,1198,1871,2654,3938,4956,6258
