UF,IFR
AP,0.00732488017799792
AM,0.00785237212556227
PA,0.00890604576676544
RR,0.00670884553200442
RO,0.00808992918329739
AC,0.00775936942792459
TO,0.008962131646567971
CE,0.0109094640335776
BA,0.0112027344305874
PI,0.0111396863263202
MA,0.0104327864562268
PE,0.0107106316545931
PB,0.011555964551284
RN,0.0105907271589804
AL,0.0106788680836111
SE,0.009703823526137759
MG,0.0104119889878791
ES,0.00894510983172715
SP,0.00698757883886452
RJ,0.00793304289784407
MT,0.007971433184696336
MS,0.008610084400376554
DF,0.005550361291525172
GO,0.009206457644058948
SC,0.00761215243938302
RS,0.0087149003822191
PR,0.008578856611232241
BR,0.00891577268841455
