CNES;IBGE;leito_sus_cirurgicos;leito_sus_clinicos;leito_sus_gineco_obs;leito_sus_isolamento;leito_sus_outrasespec;leito_sus_pediatricos;leito_sus_uci;leito_sus_uti
2516500;110001;0;0;0;0;0;0;0;0
2679477;110001;6;21;8;2;0;8;0;0
2494280;110002;0;0;0;1;0;30;0;0
2494299;110002;16;21;27;0;2;1;0;0
2515504;110002;0;0;0;0;0;0;0;0
2515555;110002;0;0;0;0;0;0;0;0
2515598;110002;5;5;0;1;0;4;0;7
2515601;110002;0;0;0;0;0;0;0;0
5082145;110002;5;0;0;0;1;0;0;0
6663834;110002;0;0;0;0;0;0;0;0
9502432;110002;1;4;0;0;1;0;0;0
9521291;110002;0;10;0;0;0;0;0;0
2808528;110003;0;4;2;0;1;2;0;0
2496046;110004;1;1;19;0;0;15;0;0
2516381;110004;0;0;0;0;0;0;0;0
2784637;110004;0;0;0;0;0;0;0;0
3651665;110004;0;0;0;0;0;0;0;0
6599877;110004;72;32;3;0;0;45;0;27
6625908;110004;0;0;0;0;0;0;0;0
6926401;110004;0;0;0;0;0;0;0;0
7648693;110004;0;0;0;0;0;0;0;0
7704364;110004;40;59;0;0;0;0;0;0
2334801;110005;5;20;8;2;0;7;0;0
2808544;110006;7;23;7;0;0;12;0;0
2808552;110007;0;16;0;0;0;0;0;0
2808560;110008;4;30;4;0;0;7;0;0
2808587;110009;6;15;7;1;0;8;0;0
3049434;110009;0;0;0;0;0;0;0;0
3049450;110009;0;0;0;0;0;0;0;0
2497468;110010;2;16;0;0;0;11;0;0
6804497;110010;2;13;23;0;0;21;0;0
2802996;110011;0;0;0;0;0;0;0;0
2808609;110011;6;49;25;0;0;20;0;0
6898629;110011;0;0;0;0;0;0;0;0
2495279;110012;38;57;37;0;0;24;0;0
2516144;110012;0;0;0;0;0;0;0;0
3152928;110012;0;5;0;0;0;0;0;6
5633192;110012;0;0;0;0;0;0;0;0
7808488;110012;0;0;0;0;0;0;0;0
2808617;110013;5;15;15;0;7;6;0;0
2808633;110014;5;25;8;0;0;6;0;0
2496879;110015;10;20;5;1;0;10;0;0
2516276;110015;0;0;0;0;0;0;0;0
2516284;110015;0;0;0;0;0;0;0;0
2516292;110015;0;0;0;0;0;0;0;0
2496534;110018;5;16;12;0;0;13;0;0
2516047;110018;0;0;0;0;0;0;0;0
2493853;110020;0;81;0;0;12;0;0;7
2493888;110020;42;100;0;0;0;0;0;45
2493896;110020;0;63;0;2;0;70;0;0
2515369;110020;15;68;5;1;0;10;0;35
2515431;110020;0;0;0;0;0;0;0;0
2515458;110020;5;10;0;0;0;0;0;0
2515466;110020;0;0;0;0;0;0;0;0
2743590;110020;0;0;0;0;0;5;2;5
2807092;110020;14;92;0;0;17;0;0;0
3970442;110020;0;1;50;0;0;12;4;0
4001303;110020;223;68;90;4;74;20;41;51
5084415;110020;0;15;0;0;0;0;0;0
5618347;110020;19;6;4;0;0;4;0;0
6205224;110020;0;0;0;0;0;0;0;0
6736408;110020;0;0;0;0;0;0;0;0
6740804;110020;0;0;0;0;0;0;0;0
7068336;110020;10;30;0;0;0;10;0;20
2495414;110025;10;22;8;0;0;5;0;0
7177739;110026;0;7;1;0;0;1;0;0
2495228;110028;5;37;21;4;3;12;0;0
2516586;110028;0;0;0;0;0;0;0;0
2516594;110028;0;0;0;0;0;0;0;0
2679191;110029;3;13;4;0;0;5;0;0
2515989;110030;0;0;0;0;0;0;0;0
2798484;110030;45;76;34;3;6;26;6;10
2808668;110032;9;18;9;0;0;8;0;0
4001958;110033;0;11;3;0;0;6;0;0
2808501;110034;3;16;10;0;0;6;0;0
2806681;110037;0;8;4;0;0;4;0;0
2808676;110040;0;12;0;0;0;4;0;0
2807076;110045;8;10;7;0;0;7;0;0
5915104;110045;0;0;0;0;0;0;0;0
7428626;110045;0;0;0;0;0;0;0;0
4002385;110050;0;13;0;0;0;5;0;0
2807084;110060;0;16;3;0;0;7;0;0
2369923;110070;0;12;1;0;0;6;0;0
4002547;110080;0;5;5;0;0;5;0;0
