codibge,qtd_leitos,qtd_uti,qtd_uti_covid
110001,33.0,0.0,0.0
110037,8.0,0.0,0.0
110040,12.0,0.0,0.0
110034,19.0,0.0,0.0
110002,161.0,19.0,0.0
110045,31.0,0.0,0.0
110003,5.0,0.0,0.0
110060,16.0,0.0,0.0
110004,253.0,28.0,0.0
110070,12.0,0.0,0.0
110080,5.0,0.0,0.0
110090,7.0,0.0,0.0
110005,27.0,0.0,0.0
110092,6.0,0.0,0.0
110006,31.0,0.0,0.0
110007,16.0,0.0,0.0
110008,34.0,0.0,0.0
110094,8.0,0.0,0.0
110009,37.0,0.0,0.0
110100,11.0,0.0,0.0
110010,39.0,0.0,0.0
110110,10.0,0.0,0.0
110011,62.0,0.0,0.0
110012,141.0,10.0,0.0
110013,23.0,0.0,0.0
110120,10.0,0.0,0.0
110130,16.0,0.0,0.0
110140,18.0,0.0,0.0
110014,30.0,0.0,0.0
110033,11.0,0.0,0.0
110143,9.0,0.0,0.0
110050,13.0,0.0,0.0
110015,74.0,0.0,0.0
110145,6.0,0.0,0.0
110018,23.0,0.0,0.0
110146,5.0,0.0,0.0
110020,1273.0,173.0,10.0
110025,32.0,0.0,0.0
110147,0.0,0.0,0.0
110026,7.0,0.0,0.0
110028,54.0,0.0,0.0
110029,16.0,0.0,0.0
110148,7.0,0.0,0.0
110149,15.0,0.0,0.0
110032,27.0,0.0,0.0
110150,21.0,0.0,0.0
110155,6.0,0.0,0.0
110160,9.0,0.0,0.0
110170,10.0,0.0,0.0
110175,9.0,0.0,0.0
110180,10.0,0.0,0.0
110030,136.0,10.0,0.0
120001,9.0,0.0,0.0
120005,7.0,0.0,0.0
120010,23.0,0.0,0.0
120013,0.0,0.0,0.0
120017,0.0,0.0,0.0
120020,118.0,7.0,0.0
120025,0.0,0.0,0.0
120030,23.0,0.0,0.0
120032,7.0,0.0,0.0
120033,12.0,0.0,0.0
120034,17.0,0.0,0.0
120035,8.0,0.0,0.0
120038,32.0,0.0,0.0
120080,0.0,0.0,0.0
120039,8.0,0.0,0.0
120040,565.0,41.0,10.0
120042,8.0,0.0,0.0
120043,11.0,0.0,0.0
120050,28.0,0.0,0.0
120045,23.0,0.0,0.0
120060,19.0,0.0,0.0
120070,19.0,0.0,0.0
130002,10.0,0.0,0.0
130006,20.0,0.0,0.0
130008,12.0,0.0,0.0
130010,11.0,0.0,0.0
130014,26.0,0.0,0.0
130020,18.0,0.0,0.0
130030,17.0,0.0,0.0
130040,17.0,0.0,0.0
130050,16.0,0.0,0.0
130060,21.0,0.0,0.0
130063,4.0,0.0,0.0
130068,10.0,0.0,0.0
130070,34.0,0.0,0.0
130080,20.0,0.0,0.0
130083,12.0,0.0,0.0
130090,7.0,0.0,0.0
130100,28.0,0.0,0.0
130110,10.0,0.0,0.0
130115,0.0,0.0,0.0
130120,49.0,0.0,0.0
130130,20.0,0.0,0.0
130140,29.0,0.0,0.0
130150,11.0,0.0,0.0
130160,37.0,0.0,0.0
130165,15.0,0.0,0.0
130170,22.0,0.0,0.0
130180,15.0,0.0,0.0
130185,22.0,0.0,0.0
130190,61.0,0.0,0.0
130195,10.0,0.0,0.0
130200,11.0,0.0,0.0
130210,9.0,0.0,0.0
130220,10.0,0.0,0.0
130230,12.0,0.0,0.0
130240,24.0,0.0,2.0
130250,42.0,0.0,0.0
130255,14.0,0.0,0.0
130260,2341.0,293.0,0.0
130270,22.0,0.0,0.0
130280,10.0,0.0,0.0
130290,49.0,0.0,0.0
130300,11.0,0.0,0.0
130310,17.0,0.0,0.0
130320,8.0,0.0,0.0
130330,16.0,0.0,0.0
130340,68.0,0.0,0.0
130350,16.0,0.0,0.0
130353,17.0,0.0,0.0
130356,16.0,0.0,0.0
130360,10.0,0.0,0.0
130370,41.0,0.0,0.0
130380,43.0,0.0,0.0
130390,13.0,0.0,0.0
130395,11.0,0.0,0.0
130400,13.0,0.0,0.0
130406,31.0,0.0,0.0
130410,19.0,0.0,0.0
130420,40.0,0.0,0.0
130423,14.0,0.0,0.0
130426,11.0,0.0,0.0
130430,25.0,0.0,0.0
130440,19.0,0.0,0.0
140005,16.0,0.0,0.0
140002,0.0,0.0,0.0
140010,806.0,25.0,0.0
140015,12.0,0.0,0.0
140017,0.0,0.0,0.0
140020,15.0,0.0,0.0
140023,10.0,0.0,0.0
140028,1.0,0.0,0.0
140030,17.0,0.0,0.0
140040,12.0,0.0,0.0
140045,6.0,0.0,0.0
140047,15.0,0.0,0.0
140050,10.0,0.0,0.0
140060,11.0,0.0,0.0
140070,0.0,0.0,0.0
150010,211.0,0.0,0.0
150013,14.0,0.0,0.0
150020,17.0,0.0,0.0
150030,14.0,0.0,0.0
150034,26.0,0.0,0.0
150040,65.0,0.0,0.0
150050,53.0,0.0,0.0
150060,181.0,10.0,0.0
150070,12.0,0.0,0.0
150080,571.0,68.0,0.0
150085,22.0,0.0,0.0
150090,66.0,0.0,0.0
150095,28.0,0.0,0.0
150100,0.0,0.0,0.0
150110,9.0,0.0,0.0
150120,18.0,0.0,0.0
150125,7.0,0.0,0.0
150130,63.0,10.0,0.0
150140,2490.0,374.0,0.0
150145,11.0,0.0,0.0
150150,0.0,0.0,0.0
150157,18.0,0.0,0.0
150160,0.0,0.0,0.0
150170,192.0,10.0,0.0
150172,18.0,0.0,0.0
150175,16.0,0.0,0.0
150178,27.0,0.0,0.0
150180,91.0,7.0,0.0
150190,30.0,0.0,0.0
150200,10.0,0.0,0.0
150195,0.0,0.0,0.0
150210,94.0,0.0,0.0
150215,45.0,0.0,0.0
150220,161.0,20.0,0.0
150230,93.0,0.0,0.0
150240,265.0,24.0,0.0
150250,3.0,0.0,0.0
150260,4.0,0.0,0.0
150270,75.0,0.0,0.0
150275,15.0,0.0,0.0
150276,7.0,0.0,0.0
150277,18.0,0.0,0.0
150280,12.0,0.0,0.0
150285,0.0,0.0,0.0
150290,16.0,0.0,0.0
150293,58.0,0.0,2.0
150295,24.0,0.0,0.0
150300,5.0,0.0,0.0
150304,12.0,0.0,0.0
150307,13.0,0.0,0.0
150309,10.0,0.0,0.0
150310,14.0,0.0,0.0
150320,26.0,0.0,0.0
150330,87.0,0.0,0.0
150340,9.0,0.0,0.0
150345,60.0,0.0,0.0
150350,16.0,0.0,0.0
150360,194.0,0.0,10.0
150370,30.0,0.0,0.0
150375,12.0,0.0,0.0
150380,100.0,0.0,0.0
150390,43.0,0.0,0.0
150400,12.0,0.0,0.0
150405,28.0,0.0,0.0
150410,0.0,0.0,0.0
150420,218.0,20.0,0.0
150430,18.0,0.0,0.0
150440,11.0,0.0,0.0
150442,111.0,7.0,0.0
150445,23.0,0.0,0.0
150450,9.0,0.0,0.0
150460,13.0,0.0,0.0
150470,29.0,0.0,0.0
150475,0.0,0.0,0.0
150480,47.0,0.0,0.0
150490,12.0,0.0,0.0
150495,19.0,0.0,0.0
150497,7.0,0.0,0.0
150500,0.0,0.0,0.0
150503,26.0,0.0,0.0
150506,28.0,0.0,0.0
150510,38.0,0.0,0.0
150520,9.0,0.0,0.0
150530,42.0,0.0,0.0
150540,11.0,0.0,0.0
