,uf,city,estimated_population
0,RO,Alta Floresta D'Oeste,22945
1,RO,Ariquemes,107863
2,RO,Cabixi,5312
3,RO,Cacoal,85359
4,RO,Cerejeiras,16323
5,RO,Colorado do Oeste,15882
6,RO,Corumbiara,7391
7,RO,Costa Marques,18331
8,RO,Espigão D'Oeste,32374
9,RO,Guajará-Mirim,46174
10,RO,Jaru,51775
11,RO,Ji-Paraná,128969
12,RO,Machadinho D'Oeste,39991
13,RO,Nova Brasilândia D'Oeste,20474
14,RO,Ouro Preto do Oeste,36035
15,RO,Pimenta Bueno,36660
16,RO,Porto Velho,529544
17,RO,Presidente Médici,18986
18,RO,Rio Crespo,3764
19,RO,Rolim de Moura,55058
20,RO,Santa Luzia D'Oeste,6495
21,RO,Vilhena,99854
22,RO,São Miguel do Guaporé,23005
23,RO,Nova Mamoré,30583
24,RO,Alvorada D'Oeste,14411
25,RO,Alto Alegre dos Parecis,13241
26,RO,Alto Paraíso,21428
27,RO,Buritis,39654
28,RO,Novo Horizonte do Oeste,8538
29,RO,Cacaulândia,6230
30,RO,Campo Novo de Rondônia,14139
31,RO,Candeias do Jamari,26693
32,RO,Castanheiras,3052
33,RO,Chupinguaia,11182
34,RO,Cujubim,25215
35,RO,Governador Jorge Teixeira,7767
36,RO,Itapuã do Oeste,10458
37,RO,Ministro Andreazza,9660
38,RO,Mirante da Serra,10947
39,RO,Monte Negro,15852
40,RO,Nova União,6970
41,RO,Parecis,6074
42,RO,Pimenteiras do Oeste,2169
43,RO,Primavera de Rondônia,2856
44,RO,São Felipe D'Oeste,5172
45,RO,São Francisco do Guaporé,20266
46,RO,Seringueiras,11856
47,RO,Teixeirópolis,4308
48,RO,Theobroma,10444
49,RO,Urupá,11467
50,RO,Vale do Anari,11204
51,RO,Vale do Paraíso,6825
52,AC,Acrelândia,15256
53,AC,Assis Brasil,7417
54,AC,Brasiléia,26278
55,AC,Bujari,10266
56,AC,Capixaba,11733
57,AC,Cruzeiro do Sul,88376
58,AC,Epitaciolândia,18411
59,AC,Feijó,34780
60,AC,Jordão,8317
61,AC,Mâncio Lima,18977
62,AC,Manoel Urbano,9459
63,AC,Marechal Thaumaturgo,18867
64,AC,Plácido de Castro,19761
65,AC,Porto Walter,11982
66,AC,Rio Branco,407319
67,AC,Rodrigues Alves,18930
68,AC,Santa Rosa do Purus,6540
69,AC,Senador Guiomard,23024
70,AC,Sena Madureira,45848
71,AC,Tarauacá,42567
72,AC,Xapuri,19323
73,AC,Porto Acre,18504
74,AM,Alvarães,16041
75,AM,Amaturá,11536
76,AM,Anamã,13614
77,AM,Anori,21010
78,AM,Apuí,21973
79,AM,Atalaia do Norte,19921
80,AM,Autazes,39565
81,AM,Barcelos,27502
82,AM,Barreirinha,32041
83,AM,Benjamin Constant,42984
84,AM,Beruri,19679
85,AM,Boa Vista do Ramos,19207
86,AM,Boca do Acre,34308
87,AM,Borba,41161
88,AM,Caapiranga,13081
89,AM,Canutama,15629
90,AM,Carauari,28294
91,AM,Careiro,37869
92,AM,Careiro da Várzea,30225
93,AM,Coari,85097
94,AM,Codajás,28637
95,AM,Eirunepé,35273
96,AM,Envira,20033
97,AM,Fonte Boa,17609
98,AM,Guajará,16678
99,AM,Humaitá,55080
100,AM,Ipixuna,29689
101,AM,Iranduba,48296
102,AM,Itacoatiara,101337
103,AM,Itamarati,7851
104,AM,Itapiranga,9148
105,AM,Japurá,2755
106,AM,Juruá,14712
107,AM,Jutaí,14317
108,AM,Lábrea,46069
109,AM,Manacapuru,97377
110,AM,Manaquiri,32105
111,AM,Manaus,2182763
112,AM,Manicoré,55751
113,AM,Maraã,18224
114,AM,Maués,63905
115,AM,Nhamundá,21173
116,AM,Nova Olinda do Norte,37378
117,AM,Novo Airão,19454
118,AM,Novo Aripuanã,25644
119,AM,Parintins,114273
120,AM,Pauini,19426
121,AM,Presidente Figueiredo,36279
122,AM,Rio Preto da Eva,33347
123,AM,Santa Isabel do Rio Negro,25156
124,AM,Santo Antônio do Içá,21602
125,AM,São Gabriel da Cachoeira,45564
126,AM,São Paulo de Olivença,39299
127,AM,São Sebastião do Uatumã,14020
128,AM,Silves,9171
129,AM,Tabatinga,65844
130,AM,Tapauá,17156
131,AM,Tefé,59849
132,AM,Tonantins,18755
133,AM,Uarini,13540
134,AM,Urucará,16256
135,AM,Urucurituba,23065
136,RR,Amajari,12796
137,RR,Alto Alegre,15510
138,RR,Boa Vista,399213
139,RR,Bonfim,12409
140,RR,Cantá,18335
141,RR,Caracaraí,21926
142,RR,Caroebe,10169
143,RR,Iracema,11950
144,RR,Mucajaí,17853
145,RR,Normandia,11290
146,RR,Pacaraima,17401
147,RR,Rorainópolis,30163
148,RR,São João da Baliza,8201
149,RR,São Luiz,7986
150,RR,Uiramutã,10559
151,PA,Abaetetuba,157698
152,PA,Abel Figueiredo,7434
153,PA,Acará,55591
154,PA,Afuá,39218
155,PA,Água Azul do Norte,27430
156,PA,Alenquer,56789
157,PA,Almeirim,34109
158,PA,Altamira,114594
159,PA,Anajás,29277
160,PA,Ananindeua,530598
161,PA,Anapu,27890
162,PA,Augusto Corrêa,45998
163,PA,Aurora do Pará,31338
164,PA,Aveiro,16388
165,PA,Bagre,30673
166,PA,Baião,47446
167,PA,Bannach,3286
168,PA,Barcarena,124680
169,PA,Belém,1492745
170,PA,Belterra,17732
171,PA,Benevides,62737
172,PA,Bom Jesus do Tocantins,16981
173,PA,Bonito,16286
174,PA,Bragança,127686
175,PA,Brasil Novo,15086
176,PA,Brejo Grande do Araguaia,7380
177,PA,Breu Branco,66046
178,PA,Breves,102701
179,PA,Bujaru,29132
180,PA,Cachoeira do Piriá,33900
181,PA,Cachoeira do Arari,23767
182,PA,Cametá,137890
183,PA,Canaã dos Carajás,37085
184,PA,Capanema,69027
185,PA,Capitão Poço,54303
186,PA,Castanhal,200793
187,PA,Chaves,23717
188,PA,Colares,12085
189,PA,Conceição do Araguaia,47864
190,PA,Concórdia do Pará,33318
191,PA,Cumaru do Norte,13473
192,PA,Curionópolis,17929
193,PA,Curralinho,34448
194,PA,Curuá,14393
195,PA,Curuçá,40066
196,PA,Dom Eliseu,59719
197,PA,Eldorado do Carajás,33808
198,PA,Faro,7194
199,PA,Floresta do Araguaia,20304
200,PA,Garrafão do Norte,26066
201,PA,Goianésia do Pará,40475
202,PA,Gurupá,33376
203,PA,Igarapé-Açu,38807
204,PA,Igarapé-Miri,62698
205,PA,Inhangapi,11711
206,PA,Ipixuna do Pará,64053
207,PA,Irituia,32550
208,PA,Itaituba,101247
209,PA,Itupiranga,53269
210,PA,Jacareacanga,8239
211,PA,Jacundá,59155
212,PA,Juruti,57943
213,PA,Limoeiro do Ajuru,28935
214,PA,Mãe do Rio,30077
215,PA,Magalhães Barata,8548
216,PA,Marabá,279349
217,PA,Maracanã,29473
218,PA,Marapanim,28336
219,PA,Marituba,131521
220,PA,Medicilândia,31597
221,PA,Melgaço,27654
222,PA,Mocajuba,31136
223,PA,Moju,82094
224,PA,Mojuí dos Campos,16084
225,PA,Monte Alegre,58032
226,PA,Muaná,40349
227,PA,Nova Esperança do Piriá,21368
228,PA,Nova Ipixuna,16678
229,PA,Nova Timboteua,15363
230,PA,Novo Progresso,25762
231,PA,Novo Repartimento,75919
232,PA,Óbidos,52137
233,PA,Oeiras do Pará,32512
234,PA,Oriximiná,73096
235,PA,Ourém,17842
236,PA,Ourilândia do Norte,32832
237,PA,Pacajá,47706
238,PA,Palestina do Pará,7589
239,PA,Paragominas,113145
240,PA,Parauapebas,208273
241,PA,Pau D'Arco,5483
242,PA,Peixe-Boi,8077
243,PA,Piçarra,12981
244,PA,Placas,30982
245,PA,Ponta de Pedras,31082
246,PA,Portel,62043
247,PA,Porto de Moz,41135
248,PA,Prainha,29866
249,PA,Primavera,10825
250,PA,Quatipuru,13608
251,PA,Redenção,84787
252,PA,Rio Maria,18193
253,PA,Rondon do Pará,52357
254,PA,Rurópolis,50510
255,PA,Salinópolis,40675
256,PA,Salvaterra,23752
257,PA,Santa Bárbara do Pará,21079
258,PA,Santa Cruz do Arari,10128
259,PA,Santa Izabel do Pará,70801
260,PA,Santa Luzia do Pará,19848
261,PA,Santa Maria das Barreiras,21449
262,PA,Santa Maria do Pará,24861
263,PA,Santana do Araguaia,72817
264,PA,Santarém,304589
265,PA,Santarém Novo,6709
266,PA,Santo Antônio do Tauá,31482
267,PA,São Caetano de Odivelas,18050
268,PA,São Domingos do Araguaia,25557
269,PA,São Domingos do Capim,31989
270,PA,São Félix do Xingu,128481
271,PA,São Francisco do Pará,15882
272,PA,São Geraldo do Araguaia,24847
273,PA,São João da Ponta,6139
274,PA,São João de Pirabas,23045
275,PA,São João do Araguaia,13996
276,PA,São Miguel do Guamá,58986
277,PA,São Sebastião da Boa Vista,26640
278,PA,Sapucaia,5930
279,PA,Senador José Porfírio,11658
280,PA,Soure,25374
281,PA,Tailândia,106339
282,PA,Terra Alta,11720
283,PA,Terra Santa,18769
284,PA,Tomé-Açu,63447
285,PA,Tracuateua,30959
286,PA,Trairão,18989
287,PA,Tucumã,39602
288,PA,Tucuruí,113659
289,PA,Ulianópolis,59210
290,PA,Uruará,45476
291,PA,Vigia,53686
292,PA,Viseu,61403
293,PA,Vitória do Xingu,15134
294,PA,Xinguara,44751
295,AP,Serra do Navio,5397
296,AP,Amapá,9109
297,AP,Pedra Branca do Amapari,16502
298,AP,Calçoene,11117
299,AP,Cutias,5983
300,AP,Ferreira Gomes,7780
301,AP,Itaubal,5503
302,AP,Laranjal do Jari,50410
303,AP,Macapá,503327
304,AP,Mazagão,21632
305,AP,Oiapoque,27270
306,AP,Porto Grande,21971
307,AP,Pracuúba,5120
308,AP,Santana,121364
309,AP,Tartarugalzinho,17315
310,AP,Vitória do Jari,15931
311,TO,Abreulândia,2579
312,TO,Aguiarnópolis,6733
313,TO,Aliança do Tocantins,5390
314,TO,Almas,7055
315,TO,Alvorada,8412
316,TO,Ananás,9549
317,TO,Angico,3433
318,TO,Aparecida do Rio Negro,4795
319,TO,Aragominas,5758
320,TO,Araguacema,7086
321,TO,Araguaçu,8517
322,TO,Araguaína,180470
323,TO,Araguanã,5729
324,TO,Araguatins,35761
325,TO,Arapoema,6643
326,TO,Arraias,10567
327,TO,Augustinópolis,18412
328,TO,Aurora do Tocantins,3757
329,TO,Axixá do Tocantins,9756
330,TO,Babaçulândia,10664
331,TO,Bandeirantes do Tocantins,3553
332,TO,Barra do Ouro,4591
333,TO,Barrolândia,5632
334,TO,Bernardo Sayão,4459
335,TO,Bom Jesus do Tocantins,4894
336,TO,Brasilândia do Tocantins,2201
337,TO,Brejinho de Nazaré,5497
338,TO,Buriti do Tocantins,11348
339,TO,Cachoeirinha,2275
340,TO,Campos Lindos,10116
341,TO,Cariri do Tocantins,4382
342,TO,Carmolândia,2580
343,TO,Carrasco Bonito,4095
344,TO,Caseara,5369
345,TO,Centenário,2905
346,TO,Chapada de Areia,1406
347,TO,Chapada da Natividade,3333
348,TO,Colinas do Tocantins,35424
349,TO,Combinado,4852
350,TO,Conceição do Tocantins,4105
351,TO,Couto Magalhães,5588
352,TO,Cristalândia,7289
353,TO,Crixás do Tocantins,1722
354,TO,Darcinópolis,6097
355,TO,Dianópolis,22139
356,TO,Divinópolis do Tocantins,6900
357,TO,Dois Irmãos do Tocantins,7198
358,TO,Dueré,4686
359,TO,Esperantina,10996
360,TO,Fátima,3835
361,TO,Figueirópolis,5263
362,TO,Filadélfia,8856
363,TO,Formoso do Araguaia,18440
364,TO,Fortaleza do Tabocão,2589
365,TO,Goianorte,5123
366,TO,Goiatins,13019
367,TO,Guaraí,25923
368,TO,Gurupi,86647
369,TO,Ipueiras,2015
370,TO,Itacajá,7433
371,TO,Itaguatins,5864
372,TO,Itapiratins,3777
373,TO,Itaporã do Tocantins,2427
374,TO,Jaú do Tocantins,3849
375,TO,Juarina,2193
